terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,485,3616,1,patimor1
0,487,3616,2,eglmord1
0,488,3616,3,mamord1
0,490,3616,4,lilamor1
0,492,3616,5,gretay1
1,518,3616,6,repx2
0,445,3934,1,patimor1
0,447,3934,2,eglmord1
0,448,3934,3,mamord1
0,450,3934,4,lilamor1
0,452,3934,5,gretay1
1,474,3934,6,repx2
0,990,3174,1,repwe
0,1011,3174,2,gretay2
0,1013,3174,3,lilamor2
0,1014,3174,4,mamord2
0,1015,3174,5,eglmord2
1,1017,3174,6,patimor2
0,1030,4509,1,repwe
0,1053,4509,2,gretay2
0,1055,4509,3,lilamor2
0,1056,4509,4,mamord2
0,1057,4509,5,eglmord2
1,1059,4509,6,patimor2
0,1110,1678,1,repwe
0,1133,1678,2,gretay2
0,1135,1678,3,lilamor2
0,1136,1678,4,mamord2
0,1137,1678,5,eglmord2
1,1139,1678,6,patimor2
0,505,5875,1,patimor1
0,507,5875,2,eglmord1
0,508,5875,3,mamord1
0,510,5875,4,lilamor1
0,512,5875,5,gretay1
1,538,5875,6,repx2
0,425,946,1,patimor1
0,427,946,2,eglmord1
0,428,946,3,mamord1
0,430,946,4,lilamor1
0,432,946,5,gretay1
1,454,946,6,repx2
0,430,4060,1,patimor1
0,432,4060,2,eglmord1
0,433,4060,3,mamord1
0,435,4060,4,lilamor1
0,437,4060,5,gretay1
1,459,4060,6,repx2
0,1090,1979,1,repwe
0,1113,1979,2,gretay2
0,1115,1979,3,lilamor2
0,1116,1979,4,mamord2
0,1117,1979,5,eglmord2
1,1119,1979,6,patimor2
0,1050,1927,1,repwe
0,1074,1927,2,gretay2
0,1075,1927,3,lilamor2
0,1076,1927,4,mamord2
0,1077,1927,5,eglmord2
1,1079,1927,6,patimor2
