distance,correspondanceId,arretId
192,tregain1,europe1
24,europe1,europe2
188,gast1,europe2
87,lybrqsu2,lybrqsu1
22,chverpp2,chverpn1
87,lybrqsu1,lybrqsu2
194,lybrequ1,lybrqsu2
194,lybrequ2,lybrqsu2
29,quince1,quince2
25,quince,quince2
84,retarda1,retarda2
29,quince2,quince1
17,quince,quince1
84,retarda2,retarda1
93,mareuch2,mareuch1
190,ledant2,mareuch1
185,ledante1,mareuch1
80,mareuil1,mareuch1
56,mareuil2,mareuch1
18,pprena1,pprena2
93,mareuch1,mareuch2
111,mareuil1,mareuch2
95,mareuil2,mareuch2
65,bouvrai1,bouvrai2
191,egverg1,bouvrai2
65,bouvrai2,bouvrai1
18,pprena2,pprena1
182,gddomai2,bloisce
33,pontrean,ptrean1
163,repto1,repx2
127,repjof2,repx2
120,repjof3,repx2
136,repjof4,repx2
10,repwe,repx2
63,repwb,repx2
160,nemours2,repx2
40,ptnemoun,repx2
46,ptnemous,repx2
134,repjaurs,repx2
155,repjaurn,repx2
65,repea,repx2
88,repbottb,repx2
136,mairieb,repx2
48,repbottc,repx2
135,repjoffa,repx2
32,ensabb1,ensabb2
32,ensabb2,ensabb1
24,pontno1,pontno2
26,surcouo1,surcouo2
26,surcouo2,surcouo1
26,htlauna1,htlauna2
24,pontno2,pontno1
26,htlauna2,htlauna1
68,alma1,alma
168,alma2,alma
13,thabor2,thabor1
198,bert1,thabor1
33,valblan1,valblan2
130,ptpaste1,zola1
57,ptpastm1,zola1
56,ptpastm2,zola1
168,ppaskl2,zola1
33,valblan2,valblan1
13,thabor1,thabor2
198,bert1,thabor2
79,landstd2,landesd1
183,bignon1,htsance
130,cram1,htsance
157,cram2,htsance
74,garenne1,garenne2
74,garenne2,garenne1
129,durafou2,durafou4
154,durafou1,durafou4
147,durafst2,durafou4
21,durafst1,durafou4
182,bloisce,gddomai2
175,gddomai1,gddomai2
175,gddomai2,gddomai1
182,belepin2,gddomai1
45,hilbint2,hilbint1
45,hilbint1,hilbint2
129,durafou4,durafou2
31,durafou1,durafou2
181,durafst2,durafou2
121,durafst1,durafou2
55,beauec1,beauec2
29,pltouch1,pltouch2
30,steelis2,steelis1
190,hopisud1,steelis1
154,durafou4,durafou1
31,durafou2,durafou1
143,durafst1,durafou1
185,oberthu1,durafou1
55,beauec2,beauec1
29,pltouch2,pltouch1
30,steelis1,steelis2
198,hopisud3,steelis2
160,hopisud1,steelis2
37,idftill1,idftill2
156,pref2,idftill2
183,pref1,idftill2
158,idf,idftill2
147,durafou4,durafst2
181,durafou2,durafst2
164,durafst1,durafst2
148,horegn1,durafst2
199,jdarc1,durafst2
31,vivier2,vivier1
21,durafou4,durafst1
121,durafou2,durafst1
143,durafou1,durafst1
164,durafst2,durafst1
31,vivier1,vivier2
152,colbour2,colbour1
194,piscces2,colbour1
191,piscces1,colbour1
149,lysevig1,colbour1
37,idftill2,idftill1
119,pref2,idftill1
146,pref1,idftill1
194,idf,idftill1
133,steannec,steanne1
135,steannaa,steanne1
113,steanne2,steanne1
120,chajacq2,steanne1
165,chajacq1,steanne1
22,chverpn1,chverpp2
63,steannec,steanne2
83,steannaa,steanne2
113,steanne1,steanne2
170,repto1,repwe
133,repjof2,repwe
125,repjof3,repwe
142,repjof4,repwe
10,repx2,repwe
65,repwb,repwe
169,nemours2,repwe
31,ptnemoun,repwe
39,ptnemous,repwe
137,repjaurs,repwe
157,repjaurn,repwe
69,repea,repwe
96,repbottb,repwe
128,mairieb,repwe
57,repbottc,repwe
140,repjoffa,repwe
110,repto1,repwb
70,repjof2,repwb
64,repjof3,repwb
82,repjof4,repwb
63,repx2,repwb
65,repwe,repwb
192,nemours2,repwb
92,ptnemoun,repwb
104,ptnemous,repwb
71,repjaurs,repwb
92,repjaurn,repwb
10,repea,repwb
57,repbottb,repwb
132,mairieb,repwb
84,repbottc,repwb
77,repjoffa,repwb
55,lychate1,lychate2
124,lycurie1,lychate2
187,lycurie2,lychate2
96,senestr1,senestr2
147,ormeaux1,bigopre1
95,ormeaux2,bigopre1
47,bigopre2,bigopre1
152,colbour1,colbour2
191,ormeaux1,bigopre2
136,ormeaux2,bigopre2
47,bigopre1,bigopre2
55,lychate2,lychate1
167,lycurie1,lychate1
96,senestr2,senestr1
169,belair2,belair1
21,closco30,closco31
19,closco,closco31
91,ccourte1,closco31
120,ccourte2,closco31
169,belair1,belair2
21,closco31,closco30
9,closco,closco30
84,ccourte1,closco30
109,ccourte2,closco30
36,janaich2,janaich1
144,plbaud1,plbaud2
152,piletie2,plbaud2
55,renaiss2,renaiss1
55,renaiss1,renaiss2
189,fontbla2,renaiss2
52,gide1,gide2
36,janaich1,janaich2
52,gide2,gide1
198,langevi1,gide1
144,plbaud2,plbaud1
197,piletie2,plbaud1
178,piletie1,plbaud1
44,grimaul1,grimaul2
44,grimaul2,grimaul1
139,siland2,silandi1
17,garvern1,garvern2
16,saules2,saules1
17,garvern2,garvern1
16,saules1,saules2
67,arsenal2,arsenal1
191,plelo2,arsenal1
88,arsenta2,arsenal1
86,painlev1,painlen1
49,painlev2,painlen1
155,keratry1,keratry2
106,bignoch2,bersand1
129,bignoch1,bersand1
67,arsenal1,arsenal2
198,inkerma1,arsenal2
56,arsenta2,arsenal2
155,keratry2,keratry1
39,cartier3,cartier1
46,cartier2,cartier1
184,ginguen1,cartier1
175,ginguen2,cartier1
39,cartier1,cartier3
55,cartier2,cartier3
46,cartier1,cartier2
55,cartier3,cartier2
200,ginguen2,cartier2
74,patimor1,patimor2
19,boulais1,boulais2
62,boulais3,boulais2
145,fontene1,boulais2
178,fontene2,boulais2
80,boullac1,boulais2
74,patimor2,patimor1
19,boulais2,boulais1
74,boulais3,boulais1
161,fontene1,boulais1
191,fontene2,boulais1
95,boullac1,boulais1
121,quentin2,vitrpeg2
82,quentin1,vitrpeg2
25,vitrpeg1,vitrpeg2
164,vitrfou2,vitrpeg2
146,vitrfou1,vitrpeg2
65,vitrdan1,vitrpeg2
91,vitrdan2,vitrpeg2
54,clairef2,clairef1
102,quentin2,vitrpeg1
64,quentin1,vitrpeg1
25,vitrpeg2,vitrpeg1
179,vitrfou2,vitrpeg1
169,vitrfou1,vitrpeg1
90,vitrdan1,vitrpeg1
113,vitrdan2,vitrpeg1
130,zola1,ptpaste1
74,ptpastm1,ptpaste1
89,ptpastm2,ptpaste1
93,ppaskl2,ptpaste1
62,boulais2,boulais3
74,boulais1,boulais3
161,fontene1,boulais3
23,boullac1,boulais3
47,belaive2,belaive1
47,belaive1,belaive2
54,clairef1,clairef2
141,ormeaux1,chatill1
197,ormeaux2,chatill1
30,chatill2,chatill1
170,ormeaux1,chatill2
30,chatill1,chatill2
165,bourdon1,church2
41,church1,church2
41,church2,church1
173,churbou,church1
58,chalota1,chalota2
58,chalota2,chalota1
20,cmonnet1,cmonnet2
20,cmonnet2,cmonnet1
62,stagare2,stagare1
62,stagare1,stagare2
191,plegsta1,stagare2
25,mozart2,mozart1
165,drlaen2,mozart1
25,mozart1,mozart2
196,drlaen1,mozart2
158,drlaen2,mozart2
198,drlaene,mozart2
35,etgstg1,etgstg2
35,etgstg2,etgstg1
58,lydesca1,lydesca2
58,lydesca2,lydesca1
172,chaeau2,nomi2
119,chaeau1,nomi2
40,nomi1,nomi2
15,chaussa1,chaussa2
174,chaeau2,nomi1
113,chaeau1,nomi1
40,nomi2,nomi1
15,chaussa2,chaussa1
30,robinot2,robinot1
30,robinot1,robinot2
23,hautier2,hautier1
192,gareher,hautier1
28,forum2,forum1
197,breil1,forum1
79,duchann2,duchann1
175,brizeux2,duchann1
23,hautier1,hautier2
169,gareher,hautier2
28,forum1,forum2
79,duchann1,duchann2
15,duanpa2,duanpa1
100,lebrix1,duanpa1
140,lebrix2,duanpa1
15,duanpa1,duanpa2
97,lebrix1,duanpa2
128,lebrix2,duanpa2
25,viennai2,viennai1
35,eglmord2,eglmord1
35,eglmord1,eglmord2
61,gallet2,gallet1
199,donzelo1,gallet1
194,donzelo2,gallet1
25,viennai1,viennai2
61,gallet1,gallet2
167,bouzat1,gallet2
14,veyette2,veyette1
133,lemaist2,lemaist1
199,leho2,lemaist1
183,leho1,lemaist1
133,lemaist1,lemaist2
168,lehosu1,lemaist2
118,leho2,lemaist2
110,leho1,lemaist2
45,bgstsul1,bgstsul2
15,centenf2,centenf1
167,chardon1,chardon2
168,cimest1,chardon2
178,cimest2,chardon2
42,martisj2,airlande
36,martisj1,airlande
15,centenf1,centenf2
191,hallouv2,centenf2
167,chardon2,chardon1
33,ptrean1,pontrean
22,morinai1,morinai2
171,jaures1,morinai2
45,bgstsul2,bgstsul1
22,morinai2,morinai1
184,jaures1,morinai1
9,colvern1,colvern2
9,colvern2,colvern1
14,veyette1,veyette2
41,stmarti1,stmarti2
197,cimnord2,stmarti2
154,cimnord1,stmarti2
62,cenbru2,cenbruz3
124,lychate2,lycurie1
167,lychate1,lycurie1
72,lycurie2,lycurie1
172,lycurie3,lycurie1
178,lycurie4,lycurie1
187,lychate2,lycurie2
72,lycurie1,lycurie2
120,lycurie3,lycurie2
143,lycurie4,lycurie2
170,lycurie5,lycurie2
172,lycurie1,lycurie3
120,lycurie2,lycurie3
48,lycurie4,lycurie3
152,lycurie5,lycurie3
161,rdptgay1,lycurie3
62,nemours2,nemours1
186,plelo1,nemours1
197,repbottb,nemours1
171,repbottc,nemours1
178,lycurie1,lycurie4
143,lycurie2,lycurie4
48,lycurie3,lycurie4
199,lycurie5,lycurie4
190,rdptgay1,lycurie4
196,mozart2,drlaen1
68,drlaen2,drlaen1
101,drlaene,drlaen1
160,repx2,nemours2
169,repwe,nemours2
192,repwb,nemours2
62,nemours1,nemours2
185,ptnemoun,nemours2
175,ptnemous,nemours2
186,repea,nemours2
155,repbottb,nemours2
114,repbottc,nemours2
170,lycurie2,lycurie5
152,lycurie3,lycurie5
199,lycurie4,lycurie5
188,rdptgay2,lycurie5
136,rdptgay1,lycurie5
165,mozart1,drlaen2
158,mozart2,drlaen2
68,drlaen1,drlaen2
53,drlaene,drlaen2
24,chopi1,chopi2
24,chopi2,chopi1
49,gaite1,gaite2
131,gaitedo1,gaite2
65,gaitedo2,gaite2
23,roncera1,roncera2
49,gaite2,gaite1
