arret_id,trajet_id,heure_depart,stop_sequence,terminus
6339b,31438,445,1,0
2146b,31438,446,2,0
1821b,31438,447,3,0
2099b,31438,448,4,0
6334b,31438,450,5,0
3925b,31438,451,6,0
3927b,31438,451,7,0
3929b,31438,452,8,0
1945b,31438,453,9,0
470b,31438,454,10,0
1920b,31438,454,11,0
2042b,31438,455,12,0
3923b,31438,456,13,1
3923b,24737,550,1,0
2072b,24737,550,2,0
1701b,24737,551,3,0
1984b,24737,551,4,0
1936b,24737,552,5,0
3930b,24737,553,6,0
3928b,24737,554,7,0
3926b,24737,555,8,0
6335b,24737,555,9,0
2254b,24737,557,10,0
2573b,24737,558,11,0
2248b,24737,559,12,0
2006b,24737,561,13,0
6338b,24737,565,14,1
3923b,10839,850,1,0
2072b,10839,850,2,0
1701b,10839,851,3,0
1984b,10839,851,4,0
1936b,10839,852,5,0
3930b,10839,853,6,0
3928b,10839,854,7,0
3926b,10839,855,8,0
6335b,10839,855,9,0
2254b,10839,857,10,0
2573b,10839,858,11,0
2248b,10839,859,12,0
2006b,10839,861,13,0
6338b,10839,865,14,1
6339b,24533,945,1,0
2146b,24533,946,2,0
1821b,24533,947,3,0
2099b,24533,948,4,0
6334b,24533,950,5,0
3925b,24533,951,6,0
3927b,24533,951,7,0
3929b,24533,952,8,0
1945b,24533,953,9,0
470b,24533,954,10,0
1920b,24533,954,11,0
2042b,24533,955,12,0
3923b,24533,956,13,1
3923b,35449,430,1,0
2072b,35449,430,2,0
1701b,35449,431,3,0
1984b,35449,431,4,0
1936b,35449,432,5,0
3930b,35449,433,6,0
3928b,35449,434,7,0
3926b,35449,435,8,0
6335b,35449,435,9,0
2254b,35449,437,10,0
2573b,35449,438,11,0
2248b,35449,439,12,0
2006b,35449,441,13,0
6338b,35449,445,14,1
3923b,35445,990,1,0
2072b,35445,990,2,0
1701b,35445,991,3,0
1984b,35445,991,4,0
1936b,35445,992,5,0
3930b,35445,993,6,0
3928b,35445,994,7,0
3926b,35445,995,8,0
6335b,35445,995,9,0
2254b,35445,997,10,0
2573b,35445,998,11,0
2248b,35445,999,12,0
2006b,35445,1003,13,0
6338b,35445,1010,14,1
6339b,37237,645,1,0
2146b,37237,646,2,0
1821b,37237,647,3,0
2099b,37237,648,4,0
6334b,37237,650,5,0
3925b,37237,651,6,0
3927b,37237,651,7,0
3929b,37237,652,8,0
1945b,37237,653,9,0
470b,37237,654,10,0
1920b,37237,654,11,0
2042b,37237,655,12,0
3923b,37237,656,13,1
3923b,12907,700,1,0
2072b,12907,700,2,0
1701b,12907,701,3,0
1984b,12907,701,4,0
1936b,12907,702,5,0
3930b,12907,703,6,0
3928b,12907,704,7,0
3926b,12907,705,8,0
6335b,12907,705,9,0
2254b,12907,707,10,0
2573b,12907,708,11,0
2248b,12907,709,12,0
2006b,12907,711,13,0
6338b,12907,715,14,1
6339b,39535,925,1,0
2146b,39535,926,2,0
1821b,39535,927,3,0
2099b,39535,928,4,0
6334b,39535,930,5,0
3925b,39535,931,6,0
3927b,39535,931,7,0
3929b,39535,932,8,0
1945b,39535,933,9,0
470b,39535,934,10,0
1920b,39535,934,11,0
2042b,39535,935,12,0
3923b,39535,936,13,1
6339b,7079,495,1,0
2146b,7079,496,2,0
1821b,7079,497,3,0
2099b,7079,498,4,0
6334b,7079,500,5,0
3925b,7079,501,6,0
3927b,7079,501,7,0
3929b,7079,502,8,0
1945b,7079,503,9,0
470b,7079,504,10,0
1920b,7079,504,11,0
2042b,7079,505,12,0
3923b,7079,506,13,1
6339b,12572,985,1,0
2146b,12572,986,2,0
1821b,12572,987,3,0
2099b,12572,988,4,0
6334b,12572,990,5,0
3925b,12572,991,6,0
3927b,12572,991,7,0
3929b,12572,992,8,0
1945b,12572,993,9,0
470b,12572,994,10,0
1920b,12572,994,11,0
2042b,12572,995,12,0
3923b,12572,996,13,1
3923b,31062,585,1,0
2072b,31062,585,2,0
1701b,31062,586,3,0
1984b,31062,586,4,0
1936b,31062,587,5,0
3930b,31062,588,6,0
3928b,31062,589,7,0
3926b,31062,590,8,0
6335b,31062,590,9,0
2254b,31062,592,10,0
2573b,31062,593,11,0
2248b,31062,594,12,0
2006b,31062,598,13,0
6338b,31062,605,14,1
3923b,31057,580,1,0
