arret_id,trajet_id,heure_depart,stop_sequence,terminus
3794b,22499,510,1,0
3793b,22499,511,2,0
95b,22499,513,3,0
1220b,22499,513,4,0
2905b,22499,514,5,0
5897b,22499,515,6,0
5899b,22499,517,7,0
7801b,22499,517,8,0
3551b,22499,518,9,0
7815b,22499,519,10,0
4112b,22499,520,11,0
7802b,22499,521,12,0
3069b,22499,523,13,0
436b,22499,523,14,0
5901b,22499,524,15,0
2718b,22499,526,16,0
862b,22499,526,17,0
2349b,22499,528,18,0
1288b,22499,529,19,0
1038b,22499,530,20,0
707b,22499,530,21,0
3190b,22499,531,22,0
679b,22499,532,23,0
675b,22499,533,24,0
3191b,22499,533,25,0
4155b,22499,535,26,0
3802b,22499,537,27,1
3802b,10890,1000,1,0
3801b,10890,1004,2,0
3550b,10890,1006,3,0
886b,10890,1007,4,0
3182b,10890,1009,5,0
360b,10890,1010,6,0
1102b,10890,1011,7,0
742b,10890,1012,8,0
2399b,10890,1014,9,0
421b,10890,1015,10,0
2689b,10890,1018,11,0
471b,10890,1019,12,0
231b,10890,1021,13,0
5902b,10890,1022,14,0
323b,10890,1023,15,0
3115b,10890,1025,16,0
7801b,10890,1028,17,0
3551b,10890,1030,18,0
7815b,10890,1031,19,0
4112b,10890,1033,20,0
7802b,10890,1035,21,0
5900b,10890,1038,22,0
5898b,10890,1039,23,0
2484b,10890,1040,24,0
3223b,10890,1041,25,0
526b,10890,1043,26,0
3792b,10890,1045,27,0
3794b,10890,1047,28,1
3794b,10888,870,1,0
3793b,10888,871,2,0
95b,10888,873,3,0
1220b,10888,873,4,0
2905b,10888,874,5,0
5897b,10888,875,6,0
5899b,10888,877,7,0
7801b,10888,877,8,0
3551b,10888,878,9,0
7815b,10888,879,10,0
4112b,10888,880,11,0
7802b,10888,881,12,0
3069b,10888,883,13,0
436b,10888,883,14,0
5901b,10888,884,15,0
2718b,10888,886,16,0
862b,10888,887,17,0
2349b,10888,889,18,0
1288b,10888,889,19,0
1038b,10888,890,20,0
707b,10888,890,21,0
3190b,10888,891,22,0
679b,10888,892,23,0
675b,10888,893,24,0
3191b,10888,894,25,0
4155b,10888,896,26,0
3802b,10888,898,27,1
3794b,42,790,1,0
3793b,42,790,2,0
95b,42,792,3,0
1220b,42,792,4,0
2905b,42,793,5,0
5897b,42,794,6,0
5899b,42,796,7,0
7801b,42,796,8,0
3551b,42,797,9,0
7815b,42,798,10,0
4112b,42,799,11,0
7802b,42,800,12,0
3069b,42,802,13,0
436b,42,802,14,0
5901b,42,804,15,0
2718b,42,806,16,0
862b,42,807,17,0
2349b,42,809,18,0
1288b,42,810,19,0
1038b,42,811,20,0
707b,42,811,21,0
3190b,42,812,22,0
679b,42,813,23,0
675b,42,814,24,0
3191b,42,815,25,0
4155b,42,817,26,0
3802b,42,819,27,1
3794b,22387,960,1,0
3793b,22387,961,2,0
95b,22387,963,3,0
1220b,22387,963,4,0
2905b,22387,964,5,0
5897b,22387,965,6,0
5899b,22387,967,7,0
7801b,22387,967,8,0
3551b,22387,968,9,0
7815b,22387,969,10,0
4112b,22387,970,11,0
7802b,22387,971,12,0
3069b,22387,973,13,0
436b,22387,973,14,0
5901b,22387,974,15,0
2718b,22387,976,16,0
862b,22387,977,17,0
2349b,22387,979,18,0
1288b,22387,979,19,0
1038b,22387,980,20,0
