arret_id,trajet_id,heure_depart,stop_sequence,terminus
5903b,22403,450,1,0
656b,22403,451,2,0
259b,22403,452,3,0
5904b,22403,452,4,0
2686b,22403,454,5,0
182b,22403,454,6,0
1770b,22403,456,7,0
1158b,22403,456,8,0
3526b,22403,457,9,0
1715b,22403,459,10,0
300b,22403,460,11,0
4861b,22403,461,12,0
1170b,22403,462,13,0
722b,22403,464,14,0
5380b,22403,466,15,0
5905b,22403,466,16,0
5906b,22403,467,17,0
5907b,22403,468,18,0
5908b,22403,469,19,0
5909b,22403,470,20,0
5910b,22403,472,21,0
3158b,22403,473,22,0
218b,22403,475,23,0
5911b,22403,475,24,0
2413b,22403,476,25,0
141b,22403,476,26,0
657b,22403,477,27,0
5912b,22403,478,28,0
5913b,22403,478,29,0
367b,22403,480,30,0
3167b,22403,480,31,0
286b,22403,481,32,0
6672b,22403,482,33,0
2906b,22403,483,34,0
6472b,22403,484,35,0
6469b,22403,485,36,0
1233b,22403,486,37,0
398b,22403,486,38,0
1589b,22403,487,39,0
6403b,22403,488,40,1
5903b,12839,840,1,0
656b,12839,841,2,0
259b,12839,842,3,0
5904b,12839,842,4,0
2686b,12839,844,5,0
182b,12839,844,6,0
1770b,12839,845,7,0
1158b,12839,845,8,0
3526b,12839,846,9,0
1715b,12839,847,10,0
300b,12839,848,11,0
4861b,12839,848,12,0
1170b,12839,849,13,0
722b,12839,850,14,0
5380b,12839,852,15,0
5905b,12839,852,16,0
5906b,12839,854,17,0
5907b,12839,854,18,0
5908b,12839,856,19,0
5909b,12839,857,20,0
5910b,12839,859,21,0
3158b,12839,860,22,0
218b,12839,862,23,0
5911b,12839,862,24,0
2413b,12839,863,25,0
141b,12839,863,26,0
657b,12839,864,27,0
5912b,12839,865,28,0
5913b,12839,865,29,0
367b,12839,867,30,0
3167b,12839,867,31,0
286b,12839,868,32,0
6672b,12839,869,33,0
2906b,12839,870,34,0
6472b,12839,871,35,0
6469b,12839,872,36,0
1233b,12839,873,37,0
398b,12839,873,38,0
1589b,12839,874,39,0
6403b,12839,875,40,1
6403b,29038,1080,1,0
585b,29038,1080,2,0
399b,29038,1081,3,0
2640b,29038,1081,4,0
6473b,29038,1082,5,0
5916b,29038,1084,6,0
242b,29038,1084,7,0
3160b,29038,1085,8,0
997b,29038,1085,9,0
5917b,29038,1085,10,0
5918b,29038,1086,11,0
5919b,29038,1087,12,0
364b,29038,1088,13,0
2416b,29038,1088,14,0
1629b,29038,1089,15,0
5920b,29038,1090,16,0
5921b,29038,1091,17,0
5888b,29038,1092,18,0
6983b,29038,1092,19,0
5890b,29038,1093,20,0
1078b,29038,1094,21,0
2417b,29038,1095,22,0
2418b,29038,1096,23,0
5922b,29038,1097,24,0
5923b,29038,1097,25,0
2454b,29038,1098,26,0
2467b,29038,1100,27,0
644b,29038,1100,28,0
694b,29038,1101,29,0
194b,29038,1102,30,0
2684b,29038,1102,31,0
4862b,29038,1103,32,0
400b,29038,1104,33,0
681b,29038,1106,34,0
3527b,29038,1107,35,0
322b,29038,1107,36,0
2754b,29038,1108,37,0
165b,29038,1109,38,0
2688b,29038,1110,39,0
262b,29038,1110,40,0
1436b,29038,1111,41,0
1111b,29038,1112,42,0
5903b,29038,1116,43,1
5903b,29105,510,1,0
656b,29105,511,2,0
259b,29105,512,3,0
5904b,29105,512,4,0
2686b,29105,514,5,0
182b,29105,514,6,0
1770b,29105,516,7,0
1158b,29105,516,8,0
3526b,29105,517,9,0
1715b,29105,519,10,0
300b,29105,520,11,0
4861b,29105,521,12,0
1170b,29105,522,13,0
722b,29105,524,14,0
5380b,29105,526,15,0
5905b,29105,526,16,0
5906b,29105,527,17,0
5907b,29105,527,18,0
5908b,29105,528,19,0
5909b,29105,529,20,0
5910b,29105,530,21,0
3158b,29105,531,22,0
218b,29105,533,23,0
5911b,29105,533,24,0
2413b,29105,534,25,0
141b,29105,534,26,0
657b,29105,535,27,0
5912b,29105,536,28,0
5913b,29105,536,29,0
367b,29105,538,30,0
3167b,29105,538,31,0
286b,29105,538,32,0
6672b,29105,539,33,0
2906b,29105,540,34,0
6472b,29105,541,35,0
6469b,29105,542,36,0
1233b,29105,543,37,0
398b,29105,543,38,0
1589b,29105,544,39,0
6403b,29105,545,40,1
6403b,12442,1070,1,0
585b,12442,1070,2,0
399b,12442,1071,3,0
2640b,12442,1071,4,0
6473b,12442,1072,5,0
5916b,12442,1074,6,0
242b,12442,1074,7,0
3160b,12442,1075,8,0
997b,12442,1075,9,0
5917b,12442,1076,10,0
5918b,12442,1077,11,0
5919b,12442,1078,12,0
364b,12442,1079,13,0
2416b,12442,1079,14,0
1629b,12442,1080,15,0
5920b,12442,1081,16,0
5921b,12442,1082,17,0
5888b,12442,1083,18,0
6983b,12442,1083,19,0
5890b,12442,1084,20,0
1078b,12442,1085,21,0
2417b,12442,1086,22,0
2418b,12442,1087,23,0
5922b,12442,1088,24,0
5923b,12442,1089,25,0
2454b,12442,1090,26,0
2467b,12442,1093,27,0
644b,12442,1093,28,0
694b,12442,1094,29,0
194b,12442,1095,30,0
2684b,12442,1095,31,0
4862b,12442,1096,32,0
400b,12442,1097,33,0
681b,12442,1099,34,0
3527b,12442,1100,35,0
322b,12442,1100,36,0
2754b,12442,1101,37,0
165b,12442,1102,38,0
2688b,12442,1103,39,0
262b,12442,1104,40,0
1436b,12442,1105,41,0
1111b,12442,1106,42,0
5903b,12442,1110,43,1
6403b,12381,410,1,0
585b,12381,410,2,0
399b,12381,411,3,0
2640b,12381,411,4,0
6473b,12381,412,5,0
5916b,12381,414,6,0
242b,12381,414,7,0
3160b,12381,415,8,0
997b,12381,415,9,0
5917b,12381,416,10,0
5918b,12381,417,11,0
5919b,12381,418,12,0
364b,12381,419,13,0
2416b,12381,419,14,0
1629b,12381,420,15,0
5920b,12381,421,16,0
5921b,12381,422,17,0
5888b,12381,423,18,0
6983b,12381,423,19,0
5890b,12381,424,20,0
1078b,12381,425,21,0
2417b,12381,426,22,0
2418b,12381,428,23,0
5922b,12381,429,24,0
5923b,12381,429,25,0
2454b,12381,430,26,0
2467b,12381,432,27,0
644b,12381,432,28,0
694b,12381,434,29,0
194b,12381,434,30,0
2684b,12381,435,31,0
4862b,12381,436,32,0
400b,12381,439,33,0
681b,12381,442,34,0
3527b,12381,443,35,0
322b,12381,443,36,0
2754b,12381,444,37,0
165b,12381,445,38,0
2688b,12381,446,39,0
262b,12381,447,40,0
1436b,12381,448,41,0
1111b,12381,449,42,0
5903b,12381,452,43,1
6403b,12537,765,1,0
585b,12537,765,2,0
399b,12537,766,3,0
2640b,12537,766,4,0
6473b,12537,767,5,0
5916b,12537,769,6,0
242b,12537,769,7,0
3160b,12537,770,8,0
997b,12537,770,9,0
5917b,12537,770,10,0
5918b,12537,771,11,0
5919b,12537,772,12,0
364b,12537,773,13,0
2416b,12537,773,14,0
1629b,12537,774,15,0
5920b,12537,775,16,0
5921b,12537,776,17,0
5888b,12537,777,18,0
6983b,12537,777,19,0
5890b,12537,778,20,0
1078b,12537,779,21,0
2417b,12537,780,22,0
2418b,12537,781,23,0
5922b,12537,782,24,0
5923b,12537,782,25,0
2454b,12537,783,26,0
2467b,12537,785,27,0
644b,12537,785,28,0
694b,12537,786,29,0
194b,12537,787,30,0
2684b,12537,787,31,0
4862b,12537,788,32,0
400b,12537,789,33,0
681b,12537,791,34,0
3527b,12537,792,35,0
322b,12537,792,36,0
2754b,12537,793,37,0
165b,12537,794,38,0
2688b,12537,795,39,0
262b,12537,795,40,0
1436b,12537,796,41,0
1111b,12537,797,42,0
5903b,12537,801,43,1
5903b,9798,570,1,0
656b,9798,571,2,0
259b,9798,572,3,0
5904b,9798,572,4,0
2686b,9798,574,5,0
182b,9798,574,6,0
1770b,9798,575,7,0
1158b,9798,575,8,0
3526b,9798,576,9,0
1715b,9798,577,10,0
300b,9798,578,11,0
4861b,9798,579,12,0
