arret_id,trajet_id,heure_depart,stop_sequence,terminus
5610b,10993,780,1,0
4429b,10993,781,2,0
4430b,10993,782,3,0
3264b,10993,783,4,0
3244b,10993,783,5,0
4060b,10993,784,6,0
1533b,10993,784,7,0
2838b,10993,785,8,0
7651b,10993,787,9,0
2829b,10993,788,10,0
1479b,10993,788,11,0
3257b,10993,789,12,0
5476b,10993,790,13,0
5744b,10993,791,14,0
3652b,10993,791,15,0
288b,10993,793,16,0
7211b,10993,794,17,1
7211b,9,440,1,0
7338b,9,440,2,0
3654b,9,440,3,0
3653b,9,441,4,0
5743b,9,442,5,0
1440b,9,443,6,0
1408b,9,444,7,0
469b,9,445,8,0
1219b,9,446,9,0
7652b,9,446,10,0
582b,9,448,11,0
1581b,9,449,12,0
4061b,9,450,13,0
1520b,9,451,14,0
5613b,9,452,15,0
5614b,9,453,16,0
5608b,9,454,17,0
5610b,9,455,18,1
7211b,10949,995,1,0
7338b,10949,995,2,0
3654b,10949,995,3,0
3653b,10949,996,4,0
5743b,10949,997,5,0
1440b,10949,998,6,0
1408b,10949,999,7,0
469b,10949,1000,8,0
1219b,10949,1001,9,0
7652b,10949,1001,10,0
582b,10949,1003,11,0
1581b,10949,1004,12,0
4061b,10949,1005,13,0
1520b,10949,1006,14,0
5613b,10949,1007,15,0
5614b,10949,1008,16,0
5608b,10949,1009,17,0
5610b,10949,1010,18,1
5610b,24588,605,1,0
4429b,24588,606,2,0
4430b,24588,607,3,0
3264b,24588,608,4,0
3244b,24588,608,5,0
4060b,24588,609,6,0
1533b,24588,609,7,0
2838b,24588,610,8,0
7651b,24588,612,9,0
2829b,24588,613,10,0
1479b,24588,613,11,0
3257b,24588,614,12,0
5476b,24588,615,13,0
5744b,24588,616,14,0
3652b,24588,617,15,0
288b,24588,618,16,0
7211b,24588,620,17,1
2829b,46,1067,1,0
1479b,46,1068,2,0
3257b,46,1069,3,0
5476b,46,1070,4,0
5744b,46,1072,5,0
3652b,46,1073,6,0
288b,46,1075,7,0
7211b,46,1077,8,1
7211b,12885,1175,1,0
7338b,12885,1175,2,0
3654b,12885,1175,3,0
3653b,12885,1176,4,0
