id,direction_id,ligne_id,calendrier_id,macro_direction
15368,10,35,221,0
19520,38,35,92,0
19599,38,35,221,0
15306,10,35,98,0
27775,38,35,221,0
5759,10,35,98,0
5762,38,35,92,0
1349,10,35,92,0
27683,10,35,98,0
5691,38,35,221,0
15146,10,35,98,0
27532,38,35,92,0
9836,10,35,92,0
9857,38,35,92,0
19731,10,35,221,0
15013,10,35,221,0
21457,38,35,98,0
1008,38,35,221,0
5453,38,35,191,0
27382,10,35,92,0
5308,38,35,92,0
15807,10,35,92,0
13605,38,35,221,0
21140,38,35,221,0
21139,38,35,92,0
29408,10,35,98,0
7442,38,35,221,0
21207,38,35,221,0
13520,38,35,98,0
15677,10,35,98,0
13538,10,35,221,0
7419,38,35,98,0
29483,38,35,92,0
13314,10,35,98,0
13406,38,35,98,0
15502,10,35,92,0
31954,38,35,92,0
27125,10,35,92,0
27058,38,35,92,0
15435,38,35,191,0
29254,38,35,92,0
29245,38,35,92,0
5093,10,35,98,0
29932,10,35,191,0
13179,38,35,92,0
13173,10,35,221,0
25434,10,35,98,0
25479,10,35,221,0
29845,10,35,191,0
25526,10,35,92,0
31862,38,35,98,0
31822,38,35,191,0
29705,10,35,98,0
25221,10,35,191,0
25237,10,35,191,0
7769,10,35,221,0
15918,38,35,191,0
25336,10,35,98,0
29681,38,35,98,0
25315,10,35,98,0
1959,38,35,98,0
23649,10,35,221,0
34196,10,35,221,0
23512,38,35,98,0
11911,10,35,98,0
23812,10,35,221,0
25887,38,35,221,0
30054,10,35,98,0
23159,38,35,221,0
13667,10,35,98,0
13698,10,35,221,0
13833,38,35,221,0
13820,10,35,221,0
23271,10,35,92,0
23255,38,35,191,0
34066,38,35,98,0
34058,10,35,221,0
3297,10,35,92,0
3202,38,35,98,0
11135,38,35,98,0
3224,38,35,98,0
32047,10,35,221,0
11219,10,35,98,0
3331,10,35,98,0
8152,38,35,191,0
11073,10,35,191,0
11109,10,35,191,0
3486,10,35,98,0
11362,38,35,221,0
11467,38,35,221,0
18977,38,35,191,0
18960,10,35,221,0
8382,10,35,191,0
20923,10,35,92,0
20939,10,35,98,0
3667,10,35,221,0
3735,10,35,221,0
11661,10,35,221,0
20866,10,35,191,0
20847,38,35,98,0
3787,38,35,98,0
3862,10,35,92,0
34744,10,35,92,0
23943,10,35,221,0
11531,38,35,221,0
8006,38,35,221,0
11822,38,35,221,0
3111,10,35,98,0
3158,38,35,98,0
18634,38,35,221,0
34911,38,35,98,0
34972,38,35,98,0
11792,10,35,221,0
8955,10,35,98,0
2937,10,35,92,0
6852,38,35,221,0
4631,10,35,221,0
4649,38,35,92,0
4687,38,35,221,0
4692,38,35,98,0
6737,38,35,221,0
6714,38,35,98,0
349,10,35,98,0
20699,38,35,221,0
18214,38,35,98,0
18269,10,35,98,0
18285,10,35,221,0
388,10,35,221,0
353,10,35,98,0
20781,10,35,221,0
20780,10,35,92,0
20791,10,35,221,0
4746,38,35,92,0
16184,38,35,221,0
941,10,35,98,0
20012,38,35,98,0
16441,38,35,221,0
18060,38,35,221,0
18037,10,35,92,0
841,10,35,98,0
20149,38,35,92,0
862,10,35,191,0
8619,38,35,221,0
852,10,35,221,0
12017,38,35,92,0
2330,38,35,98,0
8691,38,35,98,0
8718,10,35,92,0
16669,38,35,98,0
20226,38,35,98,0
2735,10,35,92,0
16694,38,35,92,0
8885,38,35,221,0
8876,10,35,221,0
28963,38,35,191,0
685,10,35,191,0
2640,10,35,92,0
2637,10,35,191,0
665,38,35,221,0
12220,38,35,221,0
16922,38,35,98,0
28476,10,35,221,0
6039,38,35,221,0
28458,38,35,98,0
28403,10,35,221,0
16840,38,35,98,0
14533,38,35,221,0
30717,10,35,221,0
26268,38,35,98,0
6229,38,35,221,0
28669,10,35,98,0
28646,38,35,98,0
30835,10,35,92,0
14958,10,35,221,0
14784,38,35,98,0
6147,38,35,191,0
6143,10,35,98,0
30911,10,35,191,0
26498,10,35,98,0
14271,10,35,98,0
6469,10,35,98,0
28013,10,35,98,0
14267,10,35,98,0
26599,10,35,92,0
30326,10,35,98,0
14453,38,35,98,0
26920,38,35,98,0
30568,10,35,98,0
6526,38,35,92,0
22540,54,36,37,0
70,102,36,234,0
35462,54,36,37,0
31278,102,36,37,0
10615,54,36,234,0
12938,54,36,37,0
24377,54,36,37,0
24409,54,36,37,0
35308,102,36,234,0
35247,54,36,37,0
29118,54,36,37,0
12751,102,36,234,0
12738,54,36,234,0
35389,54,36,234,0
24938,54,36,234,0
9758,54,36,37,0
10132,54,36,234,0
2232,102,36,37,0
17850,102,36,234,0
17856,54,36,37,0
2022,102,36,37,0
9494,54,36,234,0
33396,102,36,37,0
22892,102,36,234,0
17323,102,36,37,0
33729,54,36,234,0
33871,102,36,234,0
33873,54,36,37,0
10204,54,36,37,0
19018,54,36,37,0
27904,102,36,37,0
5863,102,36,37,0
21634,102,36,234,0
1300,54,36,37,0
21604,102,36,37,0
19441,102,36,234,0
5640,102,36,234,0
5557,102,36,37,0
9969,54,36,234,0
21478,102,36,234,0
5465,102,36,234,0
5477,54,36,37,0
7569,54,36,234,0
7534,54,36,37,0
25199,102,36,234,0
29312,54,36,37,0
13303,54,36,234,0
13261,102,36,37,0
5060,102,36,37,0
13193,102,36,234,0
31767,54,36,37,0
7966,102,36,234,0
15951,102,36,234,0
23677,54,36,234,0
34243,54,36,234,0
23793,54,36,234,0
23760,102,36,37,0
30051,54,36,234,0
23194,54,36,234,0
23424,54,36,37,0
11186,102,36,37,0
11213,102,36,234,0
8106,102,36,37,0
3378,102,36,37,0
32418,54,36,234,0
3692,54,36,37,0
20819,54,36,234,0
3854,54,36,234,0
23963,54,36,234,0
23986,102,36,234,0
3002,54,36,234,0
3031,54,36,37,0
3146,102,36,234,0
581,102,36,37,0
4704,102,36,37,0
32965,102,36,37,0
20550,102,36,234,0
425,102,36,37,0
14096,102,36,234,0
324,54,36,234,0
16225,102,36,234,0
14044,54,36,37,0
16150,102,36,37,0
20040,54,36,37,0
8523,54,36,234,0
16416,54,36,37,0
18024,102,36,37,0
16339,54,36,37,0
12028,102,36,234,0
12105,54,36,234,0
2596,102,36,234,0
6071,54,36,234,0
6049,102,36,37,0
30649,54,36,234,0
26155,54,36,37,0
24082,54,36,37,0
24045,102,36,37,0
30769,102,36,234,0
6272,54,36,234,0
28681,54,36,234,0
14909,102,36,234,0
14960,54,36,37,0
6179,102,36,37,0
16975,102,36,234,0
28072,102,36,37,0
26568,102,36,234,0
26716,102,36,234,0
26658,102,36,37,0
14430,54,36,234,0
28111,102,36,37,0
14366,102,36,234,0
30586,54,36,234,0
24670,57,33,92,0
31435,57,33,92,0
22494,57,33,98,0
22408,38,33,98,0
24600,38,33,221,0
14998,38,33,98,0
22309,57,33,92,0
10617,57,33,221,0
22137,38,33,92,0
31156,38,33,92,0
12586,38,33,92,0
12697,57,33,92,0
24926,38,33,92,0
10065,57,33,92,0
33515,38,33,98,0
9782,38,33,98,0
33665,57,33,92,0
9618,57,33,92,0
33318,57,33,98,0
2090,57,33,98,0
2027,38,33,98,0
17999,38,33,221,0
17934,38,33,221,0
17244,57,33,92,0
9234,38,33,221,0
10406,38,33,92,0
17339,38,33,92,0
4963,38,33,221,0
10333,57,33,98,0
10364,57,33,92,0
9087,38,33,98,0
22741,38,33,92,0
19132,57,33,92,0
21951,38,33,98,0
27996,57,33,221,0
27947,38,33,221,0
1643,57,33,221,0
21705,38,33,92,0
19259,57,33,98,0
1551,38,33,221,0
1468,57,33,221,0
27936,57,33,98,0
19588,38,33,221,0
19580,57,33,92,0
19575,57,33,98,0
1390,57,33,221,0
1381,57,33,98,0
5794,38,33,221,0
21661,38,33,98,0
27640,57,33,98,0
27574,57,33,98,0
27524,57,33,221,0
15022,38,33,98,0
9974,57,33,98,0
15729,38,33,98,0
21117,38,33,92,0
27260,57,33,98,0
27281,38,33,221,0
5201,57,33,92,0
21218,38,33,98,0
21219,38,33,221,0
15616,57,33,98,0
25105,57,33,221,0
7362,38,33,92,0
5171,57,33,98,0
7203,57,33,92,0
7224,57,33,92,0
7277,57,33,98,0
29901,38,33,221,0
13137,38,33,98,0
13177,38,33,221,0
31787,57,33,221,0
31770,38,33,98,0
25466,57,33,98,0
25473,38,33,92,0
7903,57,33,221,0
29882,38,33,92,0
31834,38,33,98,0
29706,57,33,92,0
7781,57,33,221,0
34191,38,33,92,0
23593,57,33,221,0
23529,38,33,98,0
23467,38,33,221,0
34281,38,33,92,0
34458,57,33,98,0
23813,57,33,98,0
25986,57,33,92,0
13737,57,33,221,0
13937,57,33,92,0
23260,38,33,98,0
23281,57,33,221,0
23243,38,33,98,0
3298,38,33,98,0
11095,38,33,92,0
8163,38,33,221,0
32077,38,33,221,0
3487,38,33,92,0
11396,57,33,98,0
11387,38,33,92,0
32286,38,33,221,0
11343,38,33,92,0
3696,38,33,98,0
34619,57,33,98,0
11634,57,33,221,0
18772,38,33,221,0
11668,38,33,221,0
146,57,33,98,0
3753,38,33,92,0
105,57,33,221,0
23997,38,33,221,0
18828,38,33,98,0
8045,38,33,92,0
32642,57,33,221,0
32673,57,33,221,0
34847,38,33,92,0
11724,38,33,98,0
34942,38,33,221,0
18663,38,33,98,0
11740,57,33,221,0
34997,57,33,92,0
11760,57,33,92,0
6840,38,33,92,0
20587,38,33,98,0
4594,38,33,92,0
4582,38,33,92,0
18390,57,33,98,0
381,38,33,92,0
20626,38,33,221,0
16294,57,33,221,0
6986,57,33,92,0
4737,38,33,221,0
18194,38,33,92,0
28849,38,33,221,0
957,38,33,221,0
2436,57,33,221,0
4233,57,33,98,0
881,57,33,98,0
28781,57,33,221,0
12031,57,33,98,0
2365,38,33,92,0
16602,38,33,221,0
4444,57,33,92,0
28941,57,33,92,0
8827,57,33,98,0
28967,57,33,98,0
680,57,33,92,0
4391,57,33,92,0
12236,57,33,221,0
2557,57,33,221,0
12293,38,33,221,0
16915,57,33,221,0
6061,38,33,98,0
16869,38,33,221,0
4090,38,33,92,0
26394,57,33,98,0
24234,57,33,92,0
28510,57,33,221,0
28542,38,33,98,0
16940,38,33,98,0
16984,38,33,98,0
14292,38,33,98,0
6471,57,33,221,0
28015,57,33,221,0
30272,57,33,92,0
26514,38,33,221,0
30367,57,33,221,0
30357,57,33,98,0
30370,57,33,221,0
26830,57,33,92,0
14324,38,33,98,0
22482,50,34,182,0
22432,16,34,182,0
56,50,34,91,0
10799,50,34,91,0
12808,50,34,91,0
24433,50,34,91,0
22330,50,34,91,0
35486,50,34,197,0
35490,50,34,182,0
24520,50,34,91,0
12976,16,34,91,0
12964,16,34,91,0
22118,16,34,197,0
33030,50,34,91,0
12664,16,34,197,0
31027,50,34,91,0
22082,16,34,91,0
7023,50,34,182,0
35276,50,34,197,0
33123,16,34,91,0
35251,50,34,197,0
35250,50,34,182,0
33152,16,34,91,0
7168,50,34,182,0
12362,16,34,197,0
24941,16,34,91,0
12373,50,34,91,0
35014,16,34,91,0
35000,50,34,91,0
35121,50,34,91,0
24856,16,34,197,0
19865,50,34,91,0
19811,50,34,197,0
19914,50,34,182,0
2236,16,34,182,0
2297,16,34,182,0
17757,50,34,182,0
17726,50,34,91,0
9356,16,34,197,0
33935,16,34,182,0
9235,50,34,182,0
10492,50,34,197,0
9187,16,34,91,0
10441,50,34,91,0
33749,16,34,91,0
33770,50,34,182,0
10389,50,34,91,0
22732,16,34,182,0
33863,16,34,182,0
1808,16,34,197,0
19144,16,34,182,0
21986,16,34,182,0
1772,16,34,182,0
1753,16,34,91,0
27962,50,34,197,0
1625,16,34,197,0
21726,16,34,91,0
1671,50,34,197,0
19360,50,34,197,0
17167,50,34,182,0
5907,16,34,197,0
1460,50,34,197,0
17007,50,34,182,0
27784,50,34,197,0
1435,16,34,182,0
1408,16,34,197,0
19566,16,34,197,0
19564,16,34,197,0
27802,16,34,197,0
19426,50,34,91,0
19429,50,34,91,0
15145,50,34,91,0
27578,16,34,91,0
21399,16,34,182,0
19737,50,34,91,0
19705,16,34,197,0
5503,50,34,91,0
5547,50,34,91,0
5576,16,34,182,0
21402,16,34,91,0
21496,50,34,91,0
19628,50,34,182,0
5375,50,34,182,0
7579,16,34,182,0
29529,16,34,91,0
21068,50,34,197,0
25044,50,34,197,0
27269,50,34,91,0
7447,50,34,182,0
13439,50,34,182,0
13467,16,34,197,0
15619,16,34,182,0
29467,16,34,91,0
29499,50,34,91,0
29488,16,34,182,0
27170,16,34,91,0
27174,16,34,91,0
13320,16,34,91,0
29375,50,34,182,0
31972,16,34,91,0
7206,16,34,91,0
7239,16,34,91,0
27039,16,34,91,0
15476,50,34,182,0
7932,16,34,91,0
7920,50,34,182,0
13019,50,34,182,0
7880,50,34,197,0
29740,16,34,182,0
29637,50,34,182,0
25339,16,34,182,0
15864,50,34,182,0
25797,16,34,91,0
23648,50,34,91,0
25769,16,34,182,0
11906,16,34,197,0
25712,16,34,182,0
34401,16,34,182,0
23885,50,34,197,0
23882,50,34,91,0
23828,50,34,91,0
23801,16,34,182,0
30069,50,34,197,0
30015,16,34,91,0
13700,50,34,182,0
23148,50,34,197,0
13696,16,34,197,0
13874,50,34,197,0
13861,16,34,91,0
23066,16,34,91,0
13984,50,34,182,0
23221,50,34,91,0
8266,50,34,182,0
11178,50,34,91,0
11081,50,34,197,0
32165,16,34,182,0
3310,16,34,91,0
32091,16,34,197,0
32200,50,34,197,0
3401,50,34,182,0
32234,16,34,197,0
32262,16,34,91,0
11449,50,34,91,0
11431,16,34,197,0
18976,50,34,197,0
32394,16,34,182,0
11274,16,34,91,0
3674,16,34,197,0
3638,16,34,182,0
32401,50,34,182,0
3666,16,34,197,0
11620,16,34,91,0
18776,50,34,197,0
34644,16,34,182,0
20838,50,34,91,0
32511,50,34,91,0
18595,50,34,197,0
32645,50,34,91,0
3073,16,34,197,0
3924,16,34,197,0
34913,50,34,197,0
34993,50,34,91,0
34996,16,34,182,0
8910,50,34,182,0
32902,16,34,91,0
8956,16,34,91,0
4673,16,34,91,0
597,16,34,91,0
596,16,34,182,0
16032,16,34,197,0
2804,50,34,182,0
18374,16,34,91,0
18217,16,34,182,0
4844,16,34,197,0
386,50,34,197,0
16299,16,34,182,0
211,16,34,197,0
6973,16,34,91,0
6907,16,34,182,0
16159,50,34,197,0
20011,16,34,197,0
20015,16,34,197,0
4211,16,34,182,0
2486,50,34,91,0
4190,50,34,182,0
28769,50,34,91,0
2324,16,34,182,0
4146,50,34,197,0
12083,50,34,182,0
8743,16,34,197,0
4481,50,34,197,0
606,50,34,182,0
619,50,34,182,0
16507,50,34,197,0
16526,50,34,182,0
16523,16,34,91,0
2660,50,34,197,0
16551,16,34,197,0
2544,50,34,182,0
26148,50,34,197,0
26281,50,34,182,0
24193,16,34,182,0
24195,50,34,91,0
6289,16,34,197,0
4007,16,34,182,0
6216,50,34,182,0
28692,16,34,197,0
26349,16,34,182,0
26436,16,34,197,0
28579,16,34,182,0
30943,50,34,91,0
16942,50,34,182,0
30934,16,34,182,0
16992,50,34,182,0
14279,50,34,197,0
30291,50,34,197,0
26531,16,34,197,0
26516,50,34,197,0
30314,16,34,182,0
26865,50,34,197,0
22594,40,37,18,0
31419,70,37,56,0
22496,70,37,18,0
22403,70,37,56,0
22463,70,37,33,0
22418,40,37,56,0
22373,70,37,56,0
24604,40,37,18,0
24628,70,37,18,0
24538,40,37,56,0
22225,40,37,33,0
24385,40,37,18,0
12653,40,37,33,0
35211,40,37,33,0
29133,40,37,33,0
22005,40,37,33,0
12444,70,37,131,0
12398,40,37,56,0
33006,39,37,143,0
33555,70,37,33,0
19875,40,37,56,0
2265,70,37,192,0
9626,40,37,33,0
2283,40,37,33,0
9604,40,37,18,0
33359,40,37,56,0
9599,70,37,18,0
9545,40,37,18,0
33269,70,37,131,0
33281,70,37,56,0
17940,40,37,56,0
33381,40,37,33,0
17202,70,37,33,0
22992,40,37,56,0
9256,40,37,131,0
9282,40,37,56,0
10487,40,37,18,0
10424,70,37,131,0
33728,40,37,18,0
17598,70,37,131,0
9026,40,37,131,0
22617,40,37,18,0
17567,40,37,18,0
19097,40,37,56,0
19023,70,37,33,0
1652,40,37,33,0
1571,40,37,18,0
1485,70,37,18,0
21594,40,37,131,0
27774,70,37,56,0
19487,70,37,18,0
15269,70,37,33,0
1265,70,37,18,0
15136,70,37,18,0
27508,70,37,56,0
9856,40,37,18,0
15083,40,37,18,0
5328,70,37,56,0
25077,70,37,18,0
27333,40,37,131,0
25139,70,37,56,0
13338,70,37,18,0
15525,40,37,56,0
31948,70,37,18,0
31945,70,37,56,0
13265,40,37,131,0
13233,40,37,33,0
13222,70,37,33,0
29255,40,37,56,0
29206,70,37,18,0
29909,40,37,18,0
29811,40,37,131,0
29847,70,37,33,0
25623,40,37,33,0
7804,40,37,56,0
29750,70,37,33,0
31679,40,37,18,0
34169,70,37,131,0
23494,40,37,33,0
30056,40,37,56,0
25994,70,37,33,0
13716,40,37,56,0
13877,70,37,56,0
23007,70,37,131,0
23097,40,37,56,0
23452,70,37,18,0
8447,70,37,18,0
11393,40,37,56,0
11474,40,37,18,0
8358,70,37,56,0
3743,70,37,18,0
3741,40,37,33,0
34665,70,37,56,0
129,70,37,56,0
134,40,37,18,0
32584,40,37,33,0
34701,70,37,56,0
23970,70,37,33,0
11588,40,37,33,0
3070,70,37,56,0
3087,70,37,33,0
3094,70,37,56,0
34825,70,37,18,0
6867,40,37,18,0
20469,40,37,33,0
2995,40,37,56,0
16010,40,37,33,0
2843,70,37,33,0
415,70,37,33,0
18345,70,37,18,0
357,70,37,18,0
223,70,37,56,0
4740,40,37,56,0
243,70,37,56,0
28841,70,37,33,0
8547,70,37,18,0
8548,70,37,131,0
12034,70,37,56,0
8671,40,37,18,0
4489,40,37,18,0
20192,40,37,56,0
20374,70,37,143,0
8868,40,37,33,0
672,40,37,56,0
4338,40,37,131,0
