arret_id,trajet_id,heure_depart,stop_sequence,terminus
591b,12386,730,1,0
2412b,12386,731,2,0
3500b,12386,732,3,0
149b,12386,734,4,0
5906b,12386,735,5,0
5907b,12386,736,6,0
5908b,12386,737,7,0
3317b,12386,739,8,0
392b,12386,740,9,0
948b,12386,742,10,0
2413b,12386,743,11,0
141b,12386,744,12,0
657b,12386,745,13,0
6329b,12386,748,14,1
6329b,15091,442,1,0
5919b,15091,442,2,0
364b,15091,443,3,0
2416b,15091,445,4,0
1629b,15091,446,5,0
769b,15091,447,6,0
1078b,15091,449,7,0
2417b,15091,450,8,0
2418b,15091,451,9,0
2419b,15091,453,10,0
2420b,15091,454,11,0
2421b,15091,455,12,0
1259b,15091,456,13,0
799b,15091,457,14,0
221b,15091,458,15,0
1792b,15091,460,16,1
591b,7298,1030,1,0
2412b,7298,1031,2,0
3500b,7298,1032,3,0
149b,7298,1034,4,0
5906b,7298,1035,5,0
5907b,7298,1036,6,0
5908b,7298,1037,7,0
3317b,7298,1039,8,0
392b,7298,1040,9,0
948b,7298,1042,10,0
2413b,7298,1043,11,0
141b,7298,1044,12,0
657b,7298,1045,13,0
6329b,7298,1048,14,1
6329b,38812,442,1,0
5919b,38812,442,2,0
364b,38812,443,3,0
2416b,38812,445,4,0
1629b,38812,446,5,0
769b,38812,447,6,0
1078b,38812,449,7,0
2417b,38812,450,8,0
2418b,38812,451,9,0
2419b,38812,453,10,0
2420b,38812,454,11,0
2421b,38812,455,12,0
1259b,38812,456,13,0
799b,38812,457,14,0
221b,38812,458,15,0
1792b,38812,460,16,1
