arret_id,trajet_id,heure_depart,stop_sequence,terminus
3648b,10958,1070,1,0
4155b,10958,1090,2,1
4155b,10858,1103,1,1
4155b,11906,563,1,1
4155b,10603,788,1,1
3648b,10630,705,1,0
4155b,10630,727,2,1
3648b,12917,1005,1,0
4155b,12917,1025,2,1
3648b,10686,675,1,0
4155b,10686,697,2,1
4155b,12969,668,1,1
4155b,13753,843,1,1
4155b,12686,1064,1,1
3648b,12676,940,1,0
4155b,12676,960,2,1
3648b,13660,862,1,0
4155b,13660,882,2,1
4155b,12776,758,1,1
3648b,13786,555,1,0
4155b,13786,577,2,1
3648b,8249,1122,1,0
4155b,8249,1139,2,1
3648b,10038,690,1,0
4155b,10038,712,2,1
3648b,2146,823,1,0
4155b,2146,843,2,1
3648b,2145,979,1,0
4155b,2145,999,2,1
3648b,11151,1159,1,0
4155b,11151,1176,2,1
4155b,8290,986,1,1
4155b,9773,1012,1,1
3648b,9788,750,1,0
4155b,9788,772,2,1
3648b,11224,1148,1,0
4155b,11224,1165,2,1
3648b,2255,660,1,0
4155b,2255,682,2,1
4155b,3321,743,1,1
4155b,9674,1038,1,1
3648b,8447,1174,1,0
4155b,8447,1191,2,1
4155b,8463,1012,1,1
3648b,8488,1109,1,0
4155b,8488,1126,2,1
3648b,8491,1159,1,0
4155b,8491,1176,2,1
3648b,8493,849,1,0
4155b,8493,869,2,1
4155b,9570,830,1,1
3648b,3448,720,1,0
4155b,3448,742,2,1
3648b,11378,600,1,0
4155b,11378,622,2,1
3648b,3472,1148,1,0
4155b,3472,1165,2,1
4155b,17887,973,1,1
4155b,11476,1142,1,1
3648b,17879,849,1,0
4155b,17879,869,2,1
4155b,3506,698,1,1
3648b,8302,940,1,0
4155b,8302,960,2,1
3648b,2082,555,1,0
4155b,2082,577,2,1
3648b,2087,862,1,0
4155b,2087,882,2,1
3648b,2046,1135,1,0
4155b,2046,1152,2,1
4155b,3589,608,1,1
4155b,3562,882,1,1
3648b,2024,888,1,0
4155b,2024,908,2,1
4155b,3609,593,1,1
3648b,17974,966,1,0
4155b,17974,986,2,1
4155b,9385,1038,1,1
3648b,10554,780,1,0
4155b,10554,800,2,1
3648b,11664,660,1,0
4155b,11664,682,2,1
3648b,11498,1018,1,0
4155b,11498,1038,2,1
4155b,17378,653,1,1
3648b,3853,540,1,0
4155b,3853,562,2,1
4155b,3842,758,1,1
3648b,10449,1135,1,0
4155b,10449,1152,2,1
4155b,10450,869,1,1
