arret_id,trajet_id,heure_depart,stop_sequence,terminus
4224b,22529,500,1,0
4217b,22529,503,2,0
2900b,22529,505,3,0
1130b,22529,506,4,0
3059b,22529,507,5,0
5334b,22529,508,6,0
4215b,22529,509,7,0
3976b,22529,510,8,0
6653b,22529,510,9,0
4009b,22529,512,10,0
1133b,22529,512,11,0
1278b,22529,513,12,0
2554b,22529,514,13,0
744b,22529,515,14,0
1628b,22529,516,15,0
2584b,22529,517,16,0
2944b,22529,517,17,0
3302b,22529,518,18,0
2942b,22529,519,19,0
1939b,22529,520,20,0
2154b,22529,521,21,0
2033b,22529,524,22,0
6376b,22529,525,23,0
6378b,22529,525,24,0
5486b,22529,526,25,0
2967b,22529,527,26,0
1501b,22529,528,27,0
5691b,22529,528,28,0
1998b,22529,530,29,0
2012b,22529,530,30,0
3358b,22529,531,31,0
3256b,22529,531,32,0
3265b,22529,532,33,0
4941b,22529,533,34,0
3421b,22529,533,35,0
3419b,22529,535,36,0
6400b,22529,539,37,0
5931b,22529,540,38,0
5606b,22529,542,39,0
4129b,22529,543,40,0
7282b,22529,545,41,1
4224b,24753,1080,1,0
4217b,24753,1083,2,0
2900b,24753,1084,3,0
1130b,24753,1085,4,0
3059b,24753,1085,5,0
5334b,24753,1086,6,0
4215b,24753,1087,7,0
3976b,24753,1088,8,0
6653b,24753,1088,9,0
4009b,24753,1089,10,0
1133b,24753,1089,11,0
1278b,24753,1090,12,0
2554b,24753,1091,13,0
744b,24753,1092,14,0
1628b,24753,1093,15,0
2584b,24753,1093,16,0
2944b,24753,1094,17,0
3302b,24753,1094,18,0
2942b,24753,1095,19,0
1939b,24753,1096,20,0
2154b,24753,1097,21,0
2033b,24753,1099,22,0
6376b,24753,1099,23,0
6378b,24753,1100,24,0
5486b,24753,1101,25,0
2967b,24753,1101,26,0
1501b,24753,1102,27,0
5691b,24753,1102,28,0
1998b,24753,1104,29,0
2012b,24753,1104,30,0
3358b,24753,1105,31,0
3256b,24753,1105,32,0
3265b,24753,1106,33,0
4941b,24753,1107,34,0
3421b,24753,1107,35,0
3419b,24753,1109,36,0
6400b,24753,1113,37,0
5931b,24753,1114,38,0
5606b,24753,1116,39,0
4129b,24753,1117,40,0
7282b,24753,1119,41,1
7282b,10843,1025,1,0
4128b,10843,1027,2,0
5607b,10843,1028,3,0
5932b,10843,1030,4,0
6399b,10843,1031,5,0
3416b,10843,1035,6,0
3420b,10843,1037,7,0
4940b,10843,1038,8,0
2560b,10843,1039,9,0
3266b,10843,1039,10,0
1933b,10843,1040,11,0
2657b,10843,1041,12,0
1788b,10843,1041,13,0
5692b,10843,1043,14,0
1092b,10843,1044,15,0
5469b,10843,1044,16,0
5485b,10843,1045,17,0
6379b,10843,1045,18,0
6377b,10843,1046,19,0
952b,10843,1047,20,0
2064b,10843,1049,21,0
2021b,10843,1051,22,0
3297b,10843,1051,23,0
2943b,10843,1052,24,0
2600b,10843,1052,25,0
807b,10843,1053,26,0
2576b,10843,1054,27,0
1046b,10843,1054,28,0
1559b,10843,1055,29,0
206b,10843,1056,30,0
2946b,10843,1057,31,0
892b,10843,1058,32,0
6654b,10843,1059,33,0
3975b,10843,1059,34,0
3977b,10843,1060,35,0
3979b,10843,1061,36,0
2949b,10843,1062,37,0
1149b,10843,1062,38,0
213b,10843,1063,39,0
4216b,10843,1065,40,0
4224b,10843,1068,41,1
4224b,24631,430,1,0
4217b,24631,433,2,0
2900b,24631,435,3,0
1130b,24631,436,4,0
3059b,24631,437,5,0
5334b,24631,438,6,0
4215b,24631,439,7,0
3976b,24631,440,8,0
6653b,24631,440,9,0
4009b,24631,442,10,0
1133b,24631,442,11,0
1278b,24631,443,12,0
2554b,24631,444,13,0
744b,24631,445,14,0
1628b,24631,446,15,0
2584b,24631,447,16,0
2944b,24631,447,17,0
3302b,24631,448,18,0
2942b,24631,449,19,0
1939b,24631,450,20,0
2154b,24631,451,21,0
2033b,24631,454,22,0
6376b,24631,455,23,0
6378b,24631,455,24,0
5486b,24631,456,25,0
2967b,24631,457,26,0
1501b,24631,458,27,0
5691b,24631,459,28,0
1998b,24631,460,29,0
2012b,24631,461,30,0
3358b,24631,461,31,0
3256b,24631,462,32,0
3265b,24631,463,33,0
4941b,24631,464,34,0
3421b,24631,465,35,0
3419b,24631,467,36,0
6400b,24631,472,37,0
5931b,24631,473,38,0
5606b,24631,475,39,0
4129b,24631,477,40,0
7282b,24631,479,41,1
7282b,12873,975,1,0
4128b,12873,977,2,0
5607b,12873,978,3,0
5932b,12873,980,4,0
6399b,12873,981,5,0
3416b,12873,985,6,0
3420b,12873,987,7,0
4940b,12873,988,8,0
2560b,12873,989,9,0
3266b,12873,989,10,0
1933b,12873,990,11,0
2657b,12873,991,12,0
1788b,12873,991,13,0
5692b,12873,993,14,0
1092b,12873,994,15,0
5469b,12873,994,16,0
5485b,12873,995,17,0
6379b,12873,995,18,0
6377b,12873,996,19,0
952b,12873,997,20,0
2064b,12873,999,21,0
2021b,12873,1001,22,0
3297b,12873,1001,23,0
2943b,12873,1002,24,0
2600b,12873,1002,25,0
807b,12873,1003,26,0
2576b,12873,1004,27,0
1046b,12873,1004,28,0
1559b,12873,1005,29,0
206b,12873,1007,30,0
2946b,12873,1008,31,0
892b,12873,1008,32,0
6654b,12873,1009,33,0
3975b,12873,1010,34,0
3977b,12873,1011,35,0
3979b,12873,1011,36,0
2949b,12873,1013,37,0
1149b,12873,1013,38,0
213b,12873,1014,39,0
4216b,12873,1016,40,0
4224b,12873,1019,41,1
4224b,22315,1150,1,0
4217b,22315,1152,2,0
2900b,22315,1154,3,0
1130b,22315,1155,4,0
3059b,22315,1155,5,0
5334b,22315,1156,6,0
4215b,22315,1156,7,0
3976b,22315,1157,8,0
6653b,22315,1158,9,0
4009b,22315,1159,10,0
1133b,22315,1159,11,0
1278b,22315,1160,12,0
2554b,22315,1161,13,0
744b,22315,1161,14,0
1628b,22315,1162,15,0
2584b,22315,1162,16,0
2944b,22315,1163,17,0
3302b,22315,1163,18,0
2942b,22315,1164,19,0
1939b,22315,1165,20,0
2154b,22315,1166,21,0
2033b,22315,1168,22,0
6376b,22315,1168,23,0
6378b,22315,1169,24,0
5486b,22315,1170,25,0
2967b,22315,1170,26,0
1501b,22315,1171,27,0
5691b,22315,1171,28,0
1998b,22315,1173,29,0
2012b,22315,1173,30,0
3358b,22315,1173,31,0
3256b,22315,1174,32,0
3265b,22315,1174,33,0
4941b,22315,1175,34,0
3421b,22315,1176,35,0
3419b,22315,1178,36,0
6400b,22315,1181,37,0
5931b,22315,1182,38,0
5606b,22315,1184,39,0
4129b,22315,1185,40,0
7282b,22315,1187,41,1
4224b,12958,1060,1,0
4217b,12958,1063,2,0
2900b,12958,1065,3,0
1130b,12958,1066,4,0
3059b,12958,1066,5,0
5334b,12958,1067,6,0
4215b,12958,1068,7,0
3976b,12958,1069,8,0
6653b,12958,1069,9,0
4009b,12958,1070,10,0
1133b,12958,1071,11,0
1278b,12958,1072,12,0
2554b,12958,1073,13,0
744b,12958,1074,14,0
1628b,12958,1074,15,0
2584b,12958,1075,16,0
2944b,12958,1076,17,0
3302b,12958,1076,18,0
2942b,12958,1077,19,0
1939b,12958,1078,20,0
2154b,12958,1079,21,0
2033b,12958,1082,22,0
6376b,12958,1083,23,0
6378b,12958,1083,24,0
5486b,12958,1084,25,0
2967b,12958,1085,26,0
1501b,12958,1086,27,0
5691b,12958,1086,28,0
1998b,12958,1088,29,0
2012b,12958,1088,30,0
3358b,12958,1089,31,0
3256b,12958,1089,32,0
3265b,12958,1090,33,0
4941b,12958,1091,34,0
3421b,12958,1091,35,0
3419b,12958,1093,36,0
6400b,12958,1097,37,0
5931b,12958,1098,38,0
5606b,12958,1100,39,0
4129b,12958,1101,40,0
7282b,12958,1103,41,1
7282b,24386,735,1,0
4128b,24386,736,2,0
5607b,24386,737,3,0
5932b,24386,739,4,0
6399b,24386,740,5,0
3416b,24386,744,6,0
3420b,24386,746,7,0
4940b,24386,747,8,0
2560b,24386,748,9,0
3266b,24386,748,10,0
1933b,24386,748,11,0
2657b,24386,749,12,0
1788b,24386,750,13,0
5692b,24386,751,14,0
1092b,24386,752,15,0
5469b,24386,752,16,0
5485b,24386,752,17,0
