id,nom,latitude,longitude
3034,Breillou,48.098553,-1.621354
3033,Breillou,48.098224,-1.621153
3032,Gériatrie,48.085229,-1.610747
1648,La Poterie,48.087634,-1.646331
1647,Henri Fréville,48.087443,-1.674436
3419,L'Ourmais,48.028985,-1.5514
3418,Le Tertronais,48.021833,-1.54725
1649,La Poterie,48.087524,-1.64332
3417,Epron,48.015078,-1.539572
1644,Place Pasteur,48.110714,-1.673658
3416,Le Petit Beauvais,48.011936,-1.5459
3221,Chateaubriand,47.993743,-1.665206
1643,Chambre Agriculture,48.114823,-1.715624
6000,Romillé Collège,48.218676,-1.893365
4019,Botrel,48.14065,-1.527479
3415,La Jaille,48.012582,-1.557306
3220,Surcouf,47.992216,-1.6679
1646,Italie,48.086632,-1.668834
6001,Frères Aubert,48.216915,-1.89045
3414,La Jaunais,48.013162,-1.570605
6002,Frères Aubert,48.216709,-1.890934
3413,La Drouais,48.024066,-1.573263
1640,Lycée Mendès France,48.133664,-1.684558
6003,Romillé Mairie,48.214912,-1.892418
4018,Lande,48.134021,-1.540447
3412,La Croix de l'Epine,48.02933,-1.564303
6004,Romillé Mairie,48.2154,-1.892311
3411,Crotigné,48.031367,-1.558356
6005,Mettrie Templiers,48.212494,-1.890895
3410,Langlois,48.040949,-1.549602
4012,Acigné Mairie,48.134151,-1.534705
4011,Foyer,48.13387,-1.537546
4013,Verdaudais,48.137246,-1.532829
4010,Lande,48.134632,-1.542142
3225,ZA L'Hermitière,47.962608,-1.684894
3018,Rocade Sud,48.085481,-1.627229
3019,Val Blanc,48.080508,-1.630849
3014,Breillou,48.098087,-1.622908
3015,Breillou,48.098321,-1.622836
3016,Cucé,48.093514,-1.607562
3017,EDEFS,48.092504,-1.61292
3022,Hallouvry,48.091041,-1.615283
3021,Rocade Sud,48.0846,-1.627505
3024,Martinière,48.07696,-1.631808
3023,EDEFS,48.092596,-1.612945
1638,Lycée Chateaubriand,48.122545,-1.651088
1637,Lycée Chateaubriand,48.123062,-1.651491
3020,Val Blanc,48.080652,-1.630601
1636,Haut Sancé,48.095933,-1.637156
4008,Boulais,48.139504,-1.561471
1634,Painlevé,48.123688,-1.660475
4009,Pont d'Ohin,48.136816,-1.548448
1633,Haut Sancé,48.096655,-1.636527
