arretId,correspondanceId,distance
bouvrai2,egverg2,156
bouvrai2,egverg1,160
bouvrai1,bouvrai2,97
bloisce,gddomai2,169
repx2,repto1,146
repx2,repjof2,103
repx2,repjof3,97
repx2,repjof4,128
repx2,repwe,16
repx2,repwb,48
repx2,nemours2,167
repx2,ptnemoun,57
repx2,ptnemous,55
repx2,repjaurs,126
repx2,repjaurn,131
repx2,repea,52
repx2,repbottb,82
repx2,mairieb,132
repx2,repbottc,56
repx2,repjoffa,116
ensabb2,ensabb1,35
pontno2,pontno1,31
ensabb1,ensabb2,35
surcouo2,surcouo1,68
surcouo1,surcouo2,68
pontno1,pontno2,31
htlauna2,htlauna1,4
htlauna1,htlauna2,4
alma,alma1,177
alma,alma2,80
thabor1,thabor2,6
zola1,repto1,187
zola1,ptpaste1,131
zola1,ptpastm1,57
zola1,ptpastm2,70
zola1,ppaskl2,181
valblan2,valblan1,23
valblan1,valblan2,23
thabor2,thabor1,6
htsance,bignon1,149
htsance,cram1,115
htsance,cram2,134
landesd1,landstd2,81
garenne2,garenne1,20
garenne1,garenne2,20
gddomai2,bloisce,169
gddomai2,gddomai1,86
gddomai1,gddomai2,86
gddomai1,belepin2,199
gddomai1,belepin1,191
hilbint1,hilbint2,161
petpre,troimar3,192
petpre,troimar2,179
hilbint2,hilbint1,161
durafou2,durafou1,57
durafou2,durafst2,161
durafou2,durafst1,163
steelis1,steelis2,21
pltouch2,pltouch1,49
beauec2,beauec1,37
steelis2,steelis1,21
pltouch1,pltouch2,49
beauec1,beauec2,37
durafou1,durafou2,57
durafou1,durafst2,132
durafou1,durafst1,133
vivier1,vivier2,34
durafst2,durafou2,161
durafst2,durafou1,132
durafst2,durafst1,2
idftill2,idftill1,74
idftill2,pref2,192
idftill2,pref1,193
vivier2,vivier1,34
durafst1,durafou2,163
durafst1,durafou1,133
durafst1,durafst2,2
colbour1,colbour2,54
idftill1,idftill2,74
idftill1,pref2,119
idftill1,pref1,120
steanne1,steannec,142
steanne1,steannaa,127
steanne1,steanne2,116
steanne1,chajacq2,145
steanne1,chajacq1,157
steanne2,steannec,59
steanne2,steannaa,68
steanne2,steanne1,116
chverpp2,chverpn1,3
repwe,repto1,160
repwe,repjof2,116
repwe,repjof3,110
repwe,repjof4,142
repwe,repx2,16
repwe,repwb,59
repwe,nemours2,177
repwe,ptnemoun,42
repwe,ptnemous,42
repwe,repjaurs,135
repwe,repjaurn,139
repwe,repea,64
repwe,repbottb,98
repwe,mairieb,120
repwe,repbottc,68
repwe,repjoffa,128
repwb,repto1,104
