terminus,heure_depart,trajet_id,stop_sequence,arret_id
0,1565,4143,1,repwb
0,1566,4143,2,plbreta2
0,1567,4143,3,ptbreta2
0,1568,4143,4,mail2
0,1569,4143,5,chqpost2
0,1571,4143,6,lguillg2
0,1571,4143,7,marbeuf2
0,1573,4143,8,lasalle2
0,1574,4143,9,berger2
0,1575,4143,10,moulin2
0,1577,4143,11,villuni2
1,1578,4143,12,boislab2
0,1535,2718,1,repwb
0,1536,2718,2,plbreta2
0,1537,2718,3,ptbreta2
0,1538,2718,4,mail2
0,1539,2718,5,chqpost2
0,1541,2718,6,lguillg2
0,1541,2718,7,marbeuf2
0,1543,2718,8,lasalle2
0,1544,2718,9,berger2
0,1545,2718,10,moulin2
0,1547,2718,11,villuni2
1,1548,2718,12,boislab2
0,1616,2697,2,bourdon1
0,1620,2697,3,gouges1
0,1621,2697,4,boislab1
0,1622,2697,5,villuni1
0,1623,2697,6,moulin1
0,1625,2697,7,berger1
0,1627,2697,8,lasalle1
0,1628,2697,9,marbeuf1
0,1629,2697,10,lguillg1
0,1630,2697,11,chqpost1
0,1632,2697,12,mail1
0,1632,2697,13,ptbreta1
0,1633,2697,14,plbreta1
1,1634,2697,15,repea
0,1771,621,2,bourdon1
0,1774,621,3,gouges1
0,1775,621,4,boislab1
0,1777,621,5,villuni1
0,1778,621,6,moulin1
0,1779,621,7,berger1
0,1780,621,8,lasalle1
0,1782,621,9,marbeuf1
0,1783,621,10,lguillg1
0,1784,621,11,chqpost1
0,1785,621,12,mail1
0,1785,621,13,ptbreta1
0,1786,621,14,plbreta1
1,1787,621,15,repea
0,1711,1099,2,bourdon1
0,1714,1099,3,gouges1
0,1715,1099,4,boislab1
0,1717,1099,5,villuni1
0,1718,1099,6,moulin1
0,1719,1099,7,berger1
0,1720,1099,8,lasalle1
0,1722,1099,9,marbeuf1
0,1723,1099,10,lguillg1
0,1724,1099,11,chqpost1
0,1725,1099,12,mail1
0,1725,1099,13,ptbreta1
0,1726,1099,14,plbreta1
1,1727,1099,15,repea
0,1820,1086,1,repwb
0,1821,1086,2,plbreta2
0,1822,1086,3,ptbreta2
0,1823,1086,4,mail2
0,1823,1086,5,chqpost2
0,1825,1086,6,lguillg2
0,1826,1086,7,marbeuf2
0,1827,1086,8,lasalle2
0,1828,1086,9,berger2
0,1829,1086,10,moulin2
0,1830,1086,11,villuni2
1,1832,1086,12,boislab2
0,1801,4311,2,bourdon1
0,1804,4311,3,gouges1
0,1805,4311,4,boislab1
0,1807,4311,5,villuni1
0,1808,4311,6,moulin1
0,1809,4311,7,berger1
0,1810,4311,8,lasalle1
0,1812,4311,9,marbeuf1
0,1813,4311,10,lguillg1
0,1814,4311,11,chqpost1
0,1815,4311,12,mail1
0,1815,4311,13,ptbreta1
0,1816,4311,14,plbreta1
1,1817,4311,15,repea
0,1586,5451,2,bourdon1
0,1590,5451,3,gouges1
0,1591,5451,4,boislab1
0,1592,5451,5,villuni1
0,1593,5451,6,moulin1
0,1595,5451,7,berger1
0,1597,5451,8,lasalle1
0,1598,5451,9,marbeuf1
0,1599,5451,10,lguillg1
0,1600,5451,11,chqpost1
0,1602,5451,12,mail1
0,1602,5451,13,ptbreta1
0,1603,5451,14,plbreta1
1,1604,5451,15,repea
0,1595,5234,1,repwb
0,1596,5234,2,plbreta2
0,1597,5234,3,ptbreta2
0,1598,5234,4,mail2
0,1599,5234,5,chqpost2
0,1601,5234,6,lguillg2
0,1601,5234,7,marbeuf2
0,1603,5234,8,lasalle2
0,1604,5234,9,berger2
0,1605,5234,10,moulin2
0,1607,5234,11,villuni2
1,1608,5234,12,boislab2
0,1720,5054,1,repwb
0,1721,5054,2,plbreta2
0,1722,5054,3,ptbreta2
0,1723,5054,4,mail2
0,1723,5054,5,chqpost2
0,1725,5054,6,lguillg2
0,1726,5054,7,marbeuf2
0,1727,5054,8,lasalle2
0,1728,5054,9,berger2
0,1729,5054,10,moulin2
0,1730,5054,11,villuni2
1,1732,5054,12,boislab2
0,1690,6522,1,repwb
0,1691,6522,2,plbreta2
0,1692,6522,3,ptbreta2
0,1693,6522,4,mail2
0,1693,6522,5,chqpost2
0,1695,6522,6,lguillg2
0,1696,6522,7,marbeuf2
0,1697,6522,8,lasalle2
0,1698,6522,9,berger2
0,1699,6522,10,moulin2
0,1700,6522,11,villuni2
1,1702,6522,12,boislab2
