id,nom_court,nom_long,ordre
0232,232,Saint-Erblon (Leuzières) <> Orgères (Collège Andrée Récipon),78
0233,233,Bourgbarré (Centre de Loisirs) <> Orgères (Collège Andrée Récipon),79
0234,234,Laillé (Gingouillère) <> Orgères (Collège Andrée Récipon),80
0235,235,Pont-Péan (Mouton Blanc) <> Orgères (L'Hermitière Village),81
0236,236,Clayes (Clairville) <> Pacé (Collèges de Pacé),82
0238,238,La Chapelle-Thouarault (Ville aux Archers) <> Le Rheu (Lycée Théodore Monod),83
0239,239,Mordelles (Pâtis) <> Le Rheu (Lycée Théodore Monod),84
0240,240,Saint-Gilles (Ile des Bois) <> Le Rheu (Lycée Théodore Monod),85
0242,242,Miniac-sous-Bécherel (Eglise) <> Romillé (Collège Jacques Prévert),86
0244,244,Pont-Péan (Mouton Blanc) <> Chartres-de-Bretagne (Collège Fontenay),87
0803,API,Rennes (République) <> Rennes (Etangs d'Apigné),88
1001,a,Rennes (J.F. Kennedy) <> Rennes (La Poterie),0
