id,direction
235,Rennes Henri Fréville
234,Bruz Lavoisier
233,Saint-Armel Corps-Nuds
232,Rennes La Poterie
231,Bruz Gare
230,Cesson-Sévigné Brécé
229,Bruz Cicé Blossac
228,Bruz Pont-Réan
227,Noyal-Châtillon-sur-Seiche
226,Rennes Place Hoche
225,Betton Champ Devant
224,Rennes Villejean-Université
254,Saint Grégoire Uttenreuth
255,Rennes Lycée Assomption
252,Chavagne Croix Blanche
253,Rennes Collège Clotilde Vautier
250,Saint-Grégoire Lycée Jean-Paul II
251,Mordelles Collège Saint-Yves
248,Saint-Grégoire Champ Daguet
249,Saint-Grégoire MFR Rabinardières
246,République
247,Collège Jean Moulin
244,Rennes Henri Fréville
245,Pont-Péan Laillé
242,Chartres Collège Pôle Sud
243,Saint-Grégoire via Pontay
240,Rennes Gares
241,Cesson-Sévigné Champs Blancs
275,Rennes République
274,Rennes République
273,Etangs d'Apigné
272,Brécé
279,Bruz Centre
278,Laillé
277,Gévezé
276,Rennes Villejean-Université
258,Romillé Collège Jacques Prévert
259,Bruz Collège Saint-Joseph
256,Rennes Gares
257,Miniac-sous-Bécherel Eglise
262,Rennes Lycée Assomption
263,Cesson-Sévigné Métairies Chalotais
260,Pont-Péan Bois Esnault
261,Laillé Gingouillère
266,Cesson-Sévigné Cormier
267,Cesson-Sévigné Base de Loisirs
264,Cesson-Sévigné Cormier
265,Rennes Lycée Assomption
270,Orgères Collège Andrée Récipon
271,Laillé Gingouillère
268,Lycée Joliot-Curie
269,Villejean-Université
