direction_id,ligne_id,id,calendrier_id,macro_direction
78,0053,15949,45,0
78,0053,15948,79,0
78,0053,15947,77,0
78,0053,15942,77,0
78,0053,15941,75,0
78,0053,15940,61,0
78,0053,15946,75,0
78,0053,15945,61,0
78,0053,15944,45,0
78,0053,15943,79,0
14,0053,15959,45,1
78,0053,15958,79,0
78,0053,15953,79,0
78,0053,15952,77,0
78,0053,15951,75,0
78,0053,15950,61,0
78,0053,15957,77,0
78,0053,15956,75,0
78,0053,15955,61,0
78,0053,15954,45,0
78,0053,15939,45,0
78,0053,15982,77,0
78,0053,15981,75,0
78,0053,15980,61,0
14,0053,15986,75,1
14,0053,15985,61,1
14,0053,15984,45,1
78,0053,15983,79,0
78,0053,15989,45,0
14,0053,15988,79,1
14,0053,15987,77,1
78,0053,15993,79,0
78,0053,15992,77,0
78,0053,15991,75,0
78,0053,15990,61,0
78,0053,15997,77,0
78,0053,15996,75,0
78,0053,15995,61,0
78,0053,15994,45,0
78,0053,15999,45,0
78,0053,15998,79,0
14,0053,15960,61,1
14,0053,15969,45,1
14,0053,15964,45,1
14,0053,15963,79,1
14,0053,15962,77,1
14,0053,15961,75,1
14,0053,15968,79,1
14,0053,15967,77,1
14,0053,15966,75,1
14,0053,15965,61,1
14,0053,15971,75,1
14,0053,15970,61,1
14,0053,15975,61,1
14,0053,15974,45,1
14,0053,15973,79,1
14,0053,15972,77,1
78,0053,15979,45,0
14,0053,15978,79,1
14,0053,15977,77,1
14,0053,15976,75,1
14,0053,16077,77,1
14,0053,16076,75,1
14,0053,16075,61,1
14,0053,16074,45,1
14,0053,16079,45,1
14,0053,16078,79,1
14,0053,16073,79,1
14,0053,16072,77,1
14,0053,16071,75,1
14,0053,16070,61,1
14,0053,16088,79,1
14,0053,16087,77,1
14,0053,16086,75,1
14,0053,16085,61,1
78,0053,16089,45,0
14,0053,16080,61,1
14,0053,16084,45,1
14,0053,16083,79,1
14,0053,16082,77,1
14,0053,16081,75,1
78,0053,16055,61,0
78,0053,16054,45,0
78,0053,16053,79,0
78,0053,16052,77,0
78,0053,16059,45,0
78,0053,16058,79,0
78,0053,16057,77,0
78,0053,16056,75,0
78,0053,16051,75,0
78,0053,16050,61,0
78,0053,16066,75,0
78,0053,16065,61,0
78,0053,16064,45,0
78,0053,16063,79,0
14,0053,16069,45,1
78,0053,16068,79,0
78,0053,16067,77,0
78,0053,16062,77,0
78,0053,16061,75,0
78,0053,16060,61,0
78,0053,16033,79,0
78,0053,16032,77,0
78,0053,16031,75,0
78,0053,16030,61,0
78,0053,16037,77,0
78,0053,16036,75,0
78,0053,16035,61,0
78,0053,16034,45,0
14,0053,16039,45,1
78,0053,16038,79,0
78,0053,16044,45,0
14,0053,16043,79,1
14,0053,16042,77,1
14,0053,16041,75,1
78,0053,16048,79,0
78,0053,16047,77,0
78,0053,16046,75,0
78,0053,16045,61,0
14,0053,16040,61,1
78,0053,16049,45,0
78,0053,16011,75,0
78,0053,16010,61,0
78,0053,16015,61,0
78,0053,16014,45,0
78,0053,16013,79,0
78,0053,16012,77,0
14,0053,16019,45,1
78,0053,16018,79,0
78,0053,16017,77,0
78,0053,16016,75,0
14,0053,16022,77,1
14,0053,16021,75,1
14,0053,16020,61,1
14,0053,16026,75,1
14,0053,16025,61,1
14,0053,16024,45,1
14,0053,16023,79,1
78,0053,16029,45,0
14,0053,16028,79,1
14,0053,16027,77,1
78,0053,16099,45,0
78,0053,16098,79,0
78,0053,16097,77,0
78,0053,16096,75,0
78,0053,16091,75,0
78,0053,16090,61,0
78,0053,16095,61,0
78,0053,16094,45,0
78,0053,16093,79,0
78,0053,16092,77,0
78,0053,16000,61,0
14,0053,16004,45,1
78,0053,16003,79,0
78,0053,16002,77,0
78,0053,16001,75,0
14,0053,16008,79,1
14,0053,16007,77,1
14,0053,16006,75,1
14,0053,16005,61,1
78,0053,16009,45,0
78,0053,16198,79,0
78,0053,16197,77,0
78,0053,16196,75,0
78,0053,16195,61,0
78,0053,16199,45,0
78,0053,16190,61,0
78,0053,16194,45,0
78,0053,16193,79,0
78,0053,16192,77,0
78,0053,16191,75,0
14,0053,16176,75,1
14,0053,16175,61,1
14,0053,16174,45,1
14,0053,16173,79,1
14,0053,16179,45,1
14,0053,16178,79,1
14,0053,16177,77,1
14,0053,16172,77,1
14,0053,16171,75,1
14,0053,16170,61,1
78,0053,16187,77,0
78,0053,16186,75,0
78,0053,16185,61,0
78,0053,16184,45,0
78,0053,16189,45,0
78,0053,16188,79,0
14,0053,16183,79,1
14,0053,16182,77,1
14,0053,16181,75,1
14,0053,16180,61,1
14,0053,16154,45,1
14,0053,16153,79,1
14,0053,16152,77,1
14,0053,16151,75,1
14,0053,16158,79,1
14,0053,16157,77,1
14,0053,16156,75,1
14,0053,16155,61,1
14,0053,16150,61,1
14,0053,16159,45,1
14,0053,16165,61,1
14,0053,16164,45,1
14,0053,16163,79,1
14,0053,16162,77,1
14,0053,16169,45,1
14,0053,16168,79,1
14,0053,16167,77,1
14,0053,16166,75,1
14,0053,16161,75,1
14,0053,16160,61,1
14,0053,16132,77,1
14,0053,16131,75,1
14,0053,16130,61,1
14,0053,16136,75,1
14,0053,16135,61,1
14,0053,16134,45,1
14,0053,16133,79,1
14,0053,16139,45,1
14,0053,16138,79,1
14,0053,16137,77,1
14,0053,16143,79,1
14,0053,16142,77,1
14,0053,16141,75,1
14,0053,16140,61,1
14,0053,16147,77,1
14,0053,16146,75,1
14,0053,16145,61,1
14,0053,16144,45,1
14,0053,16149,45,1
14,0053,16148,79,1
14,0053,16110,61,1
14,0053,16114,45,1
14,0053,16113,79,1
14,0053,16112,77,1
14,0053,16111,75,1
14,0053,16118,79,1
14,0053,16117,77,1
14,0053,16116,75,1
14,0053,16115,61,1
14,0053,16119,45,1
14,0053,16121,75,1
14,0053,16120,61,1
14,0053,16125,61,1
14,0053,16124,45,1
14,0053,16123,79,1
14,0053,16122,77,1
14,0053,16129,45,1
14,0053,16128,79,1
14,0053,16127,77,1
14,0053,16126,75,1
78,0053,16103,79,0
78,0053,16102,77,0
78,0053,16101,75,0
78,0053,16100,61,0
14,0053,16107,77,1
14,0053,16106,75,1
14,0053,16105,61,1
14,0053,16104,45,1
14,0053,16109,45,1
14,0053,16108,79,1
14,0053,16273,62,1
14,0053,16272,46,1
14,0053,16271,80,1
14,0053,16270,78,1
14,0053,16253,79,1
14,0053,16252,77,1
14,0053,16251,75,1
14,0053,16250,61,1
78,0053,16257,77,0
78,0053,16256,75,0
78,0053,16255,61,0
78,0053,16254,45,0
78,0053,16259,45,0
78,0053,16258,79,0
14,0053,16264,45,1
78,0053,16263,79,0
78,0053,16262,77,0
78,0053,16261,75,0
14,0053,16268,79,1
14,0053,16267,77,1
14,0053,16266,75,1
14,0053,16265,61,1
78,0053,16260,61,0
14,0053,16269,76,1
14,0053,16231,75,1
14,0053,16230,61,1
78,0053,16235,61,0
78,0053,16234,45,0
14,0053,16233,79,1
14,0053,16232,77,1
14,0053,16239,45,1
78,0053,16238,79,0
78,0053,16237,77,0
78,0053,16236,75,0
14,0053,16242,77,1
14,0053,16241,75,1
14,0053,16240,61,1
78,0053,16246,75,0
78,0053,16245,61,0
78,0053,16244,45,0
14,0053,16243,79,1
14,0053,16249,45,1
78,0053,16248,79,0
78,0053,16247,77,0
78,0053,16213,79,0
78,0053,16212,77,0
78,0053,16211,75,0
78,0053,16210,61,0
78,0053,16217,77,0
78,0053,16216,75,0
78,0053,16215,61,0
78,0053,16214,45,0
78,0053,16219,45,0
78,0053,16218,79,0
78,0053,16220,61,0
78,0053,16224,45,0
78,0053,16223,79,0
78,0053,16222,77,0
78,0053,16221,75,0
78,0053,16228,79,0
78,0053,16227,77,0
78,0053,16226,75,0
78,0053,16225,61,0
14,0053,16229,45,1
78,0053,16202,77,0
78,0053,16201,75,0
78,0053,16200,61,0
78,0053,16206,75,0
78,0053,16205,61,0
