arret_id,trajet_id,heure_depart,stop_sequence,terminus
2088,3,320,1,0
2005,3,321,2,0
2006,3,322,3,0
2007,3,323,4,0
2008,3,324,5,0
2009,3,325,6,0
2010,3,325,7,0
2011,3,326,8,0
2012,3,327,9,0
2013,3,327,10,0
2014,3,328,11,0
2015,3,329,12,0
2016,3,330,13,0
2017,3,332,14,0
1160,3,333,15,0
1603,3,334,16,0
1161,3,335,17,0
1162,3,337,18,0
1163,3,338,19,0
1164,3,338,20,0
1165,3,339,21,0
1166,3,340,22,0
1052,3,345,23,0
1051,3,346,24,0
1402,3,349,25,0
1611,3,350,26,0
1613,3,351,27,0
1591,3,352,28,0
1571,3,353,29,0
1589,3,355,30,0
2260,3,357,31,0
2211,3,359,32,0
2212,3,360,33,0
2264,3,361,34,0
2213,3,361,35,0
2203,3,362,36,0
2215,3,362,37,0
2201,3,363,38,1
2088,2,320,1,0
2005,2,321,2,0
2006,2,322,3,0
2007,2,323,4,0
2008,2,324,5,0
2009,2,325,6,0
2010,2,325,7,0
2011,2,326,8,0
2012,2,327,9,0
2013,2,327,10,0
2014,2,328,11,0
2015,2,329,12,0
2016,2,330,13,0
2017,2,332,14,0
1160,2,333,15,0
1603,2,334,16,0
1161,2,335,17,0
1162,2,337,18,0
1163,2,338,19,0
1164,2,338,20,0
1165,2,339,21,0
1166,2,340,22,0
1052,2,345,23,0
1051,2,346,24,0
1402,2,349,25,0
1611,2,350,26,0
1613,2,351,27,0
1591,2,352,28,0
1571,2,353,29,0
1589,2,355,30,0
2260,2,357,31,0
2211,2,359,32,0
2212,2,360,33,0
2264,2,361,34,0
2213,2,361,35,0
2203,2,362,36,0
2215,2,362,37,0
2201,2,363,38,1
2088,1,320,1,0
2005,1,321,2,0
2006,1,322,3,0
2007,1,323,4,0
2008,1,324,5,0
2009,1,325,6,0
2010,1,325,7,0
2011,1,326,8,0
2012,1,327,9,0
2013,1,327,10,0
2014,1,328,11,0
2015,1,329,12,0
2016,1,330,13,0
2017,1,332,14,0
1160,1,333,15,0
1603,1,334,16,0
1161,1,335,17,0
1162,1,337,18,0
1163,1,338,19,0
1164,1,338,20,0
1165,1,339,21,0
1166,1,340,22,0
1052,1,345,23,0
1051,1,346,24,0
1402,1,349,25,0
1611,1,350,26,0
1613,1,351,27,0
1591,1,352,28,0
1571,1,353,29,0
1589,1,355,30,0
2260,1,357,31,0
2211,1,359,32,0
2212,1,360,33,0
2264,1,361,34,0
2213,1,361,35,0
2203,1,362,36,0
2215,1,362,37,0
2201,1,363,38,1
2201,7,1164,1,0
2202,7,1165,2,0
2214,7,1166,3,0
2204,7,1166,4,0
2263,7,1167,5,0
2205,7,1168,6,0
2206,7,1169,7,0
2258,7,1171,8,0
1588,7,1173,9,0
1570,7,1174,10,0
1590,7,1176,11,0
1612,7,1178,12,0
1401,7,1179,13,0
1587,7,1180,14,0
1091,7,1182,15,0
1168,7,1185,16,0
1169,7,1186,17,0
1170,7,1187,18,0
1171,7,1188,19,0
1172,7,1189,20,0
1173,7,1190,21,0
1174,7,1192,22,0
1604,7,1193,23,0
1610,7,1194,24,0
2019,7,1196,25,0
2020,7,1197,26,0
2021,7,1199,27,0
2022,7,1200,28,0
2023,7,1201,29,0
2024,7,1202,30,0
2025,7,1203,31,0
2026,7,1203,32,0
2027,7,1204,33,0
2028,7,1205,34,0
2029,7,1206,35,0
2030,7,1207,36,0
2031,7,1207,37,0
2088,7,1208,38,1
2088,6,320,1,0
2005,6,321,2,0
2006,6,322,3,0
2007,6,323,4,0
2008,6,324,5,0
2009,6,325,6,0
2010,6,325,7,0
2011,6,326,8,0
2012,6,327,9,0
2013,6,327,10,0
2014,6,328,11,0
2015,6,329,12,0
2016,6,330,13,0
2017,6,332,14,0
1160,6,333,15,0
1603,6,334,16,0
1161,6,335,17,0
1162,6,337,18,0
1163,6,338,19,0
1164,6,338,20,0
1165,6,339,21,0
1166,6,340,22,0
1052,6,345,23,0
1051,6,346,24,0
1402,6,349,25,0
1611,6,350,26,0
1613,6,351,27,0
1591,6,352,28,0
1571,6,353,29,0
1589,6,355,30,0
2260,6,357,31,0
2211,6,359,32,0
2212,6,360,33,0
2264,6,361,34,0
2213,6,361,35,0
2203,6,362,36,0
2215,6,362,37,0
2201,6,363,38,1
2088,5,320,1,0
2005,5,321,2,0
2006,5,322,3,0
2007,5,323,4,0
2008,5,324,5,0
2009,5,325,6,0
2010,5,325,7,0
2011,5,326,8,0
2012,5,327,9,0
2013,5,327,10,0
2014,5,328,11,0
2015,5,329,12,0
2016,5,330,13,0
2017,5,332,14,0
1160,5,333,15,0
1603,5,334,16,0
1161,5,335,17,0
1162,5,337,18,0
1163,5,338,19,0
1164,5,338,20,0
1165,5,339,21,0
1166,5,340,22,0
1052,5,345,23,0
1051,5,346,24,0
1402,5,349,25,0
1611,5,350,26,0
1613,5,351,27,0
1591,5,352,28,0
1571,5,353,29,0
1589,5,355,30,0
2260,5,357,31,0
2211,5,359,32,0
2212,5,360,33,0
2264,5,361,34,0
2213,5,361,35,0
2203,5,362,36,0
2215,5,362,37,0
2201,5,363,38,1
2088,4,320,1,0
2005,4,321,2,0
2006,4,322,3,0
2007,4,323,4,0
2008,4,324,5,0
2009,4,325,6,0
2010,4,325,7,0
2011,4,326,8,0
2012,4,327,9,0
2013,4,327,10,0
2014,4,328,11,0
2015,4,329,12,0
2016,4,330,13,0
2017,4,332,14,0
1160,4,333,15,0
1603,4,334,16,0
1161,4,335,17,0
1162,4,337,18,0
1163,4,338,19,0
1164,4,338,20,0
1165,4,339,21,0
1166,4,340,22,0
1052,4,345,23,0
1051,4,346,24,0
1402,4,349,25,0
1611,4,350,26,0
1613,4,351,27,0
1591,4,352,28,0
1571,4,353,29,0
1589,4,355,30,0
2260,4,357,31,0
2211,4,359,32,0
2212,4,360,33,0
2264,4,361,34,0
2213,4,361,35,0
2203,4,362,36,0
2215,4,362,37,0
2201,4,363,38,1
2201,9,1164,1,0
2202,9,1165,2,0
2214,9,1166,3,0
2204,9,1166,4,0
2263,9,1167,5,0
2205,9,1168,6,0
2206,9,1169,7,0
2258,9,1171,8,0
1588,9,1173,9,0
1570,9,1174,10,0
1590,9,1176,11,0
1612,9,1178,12,0
1401,9,1179,13,0
1587,9,1180,14,0
1091,9,1182,15,0
1168,9,1185,16,0
1169,9,1186,17,0
1170,9,1187,18,0
1171,9,1188,19,0
1172,9,1189,20,0
1173,9,1190,21,0
1174,9,1192,22,0
1604,9,1193,23,0
1610,9,1194,24,0
2019,9,1196,25,0
2020,9,1197,26,0
2021,9,1199,27,0
2022,9,1200,28,0
2023,9,1201,29,0
2024,9,1202,30,0
2025,9,1203,31,0
2026,9,1203,32,0
2027,9,1204,33,0
2028,9,1205,34,0
2029,9,1206,35,0
2030,9,1207,36,0
2031,9,1207,37,0
2088,9,1208,38,1
2201,8,1164,1,0
2202,8,1165,2,0
2214,8,1166,3,0
2204,8,1166,4,0
2263,8,1167,5,0
2205,8,1168,6,0
2206,8,1169,7,0
2258,8,1171,8,0
1588,8,1173,9,0
1570,8,1174,10,0
1590,8,1176,11,0
1612,8,1178,12,0
1401,8,1179,13,0
1587,8,1180,14,0
1091,8,1182,15,0
1168,8,1185,16,0
1169,8,1186,17,0
1170,8,1187,18,0
1171,8,1188,19,0
1172,8,1189,20,0
1173,8,1190,21,0
1174,8,1192,22,0
1604,8,1193,23,0
1610,8,1194,24,0
2019,8,1196,25,0
2020,8,1197,26,0
2021,8,1199,27,0
2022,8,1200,28,0
2023,8,1201,29,0
2024,8,1202,30,0
2025,8,1203,31,0
2026,8,1203,32,0
2027,8,1204,33,0
2028,8,1205,34,0
2029,8,1206,35,0
2030,8,1207,36,0
2031,8,1207,37,0
2088,8,1208,38,1
2088,35,464,1,0
2005,35,465,2,0
2006,35,466,3,0
2007,35,467,4,0
2008,35,468,5,0
2009,35,469,6,0
2010,35,470,7,0
2011,35,471,8,0
2012,35,472,9,0
2013,35,473,10,0
2014,35,474,11,0
2015,35,475,12,0
2016,35,477,13,0
2017,35,479,14,0
1160,35,480,15,0
1603,35,481,16,0
1161,35,482,17,0
1162,35,484,18,0
1163,35,485,19,0
1164,35,486,20,0
1165,35,487,21,0
1166,35,489,22,0
1052,35,491,23,0
1051,35,492,24,0
1402,35,496,25,0
1611,35,497,26,0
1613,35,498,27,0
1591,35,500,28,0
1571,35,501,29,0
1589,35,503,30,0
2260,35,505,31,0
2211,35,508,32,0
2212,35,509,33,0
2264,35,510,34,0
2213,35,510,35,0
2203,35,511,36,0
2215,35,512,37,0
2201,35,513,38,1
2088,36,464,1,0
2005,36,465,2,0
2006,36,466,3,0
2007,36,467,4,0
2008,36,468,5,0
2009,36,469,6,0
2010,36,470,7,0
2011,36,471,8,0
2012,36,472,9,0
2013,36,473,10,0
