identifiant,type,nom,directionForward,directionBackward
TBC87_87,Bus,Ligne 87,VILLENAVE Piscine Chambéry,PESSAC Centre
TBC88_88,Bus,Ligne 88,VILLENAVE Courréjean,BEGLES Alexis Labro
TBC89_89,Bus,Ligne 89,CADAUJAC Le Bouscaut,BEGLES Alexis Labro
TBC90_90,Bus,Ligne 90,ST LOUIS DE MONTFERRAND  Belle Rive / CARBON BLANC Mouline,BASSENS La Chênaie
TBC91_91,Bus,Ligne 91,AMBES Escarraguel,BORDEAUX Stalingrad
TBC92_92,Bus,Ligne 92,AMBES Fort Lajard / AMBES Escarraguel,BORDEAUX Stalingrad
TBC93_93,Bus,Spécifique 93,AMBES Fort Lajard,LORMONT Allende
TBC94_94,Bus,Spécifique 94,AMBARES Parabelle,LORMONT Allende
TBC95_95,Bus,Spécifique 95,AMBARES Parabelle,AMBARES Collège Claude Massé
TBC96_96,Bus,Spécifique 96,ST LOUIS DE MONTFERRAND Belle Rive,LORMONT Allende
TBT59_A,Tram,Ligne A,Mérignac Centre,La Gardette / Bassens Carbon-Blanc / Floirac
TBT60_B,Tram,Ligne B,Bassins à Flot / Claveau ,Pessac Centre
TBT61_C,Tram,Ligne C,Les Aubiers,Bègles Terres Neuves 
