ligne_id,arret_id,forward,backward
TBC03_03,TBC1104RLA53A,1,0
TBC03_03,TBC1130PRO82R,0,1
TBC03_03,TBC1149PRO82A,1,0
TBC03_03,TBC1284RUE52A,1,0
TBC03_03,TBC1317FOR52R,0,1
TBC03_03,TBC1355BER53R,0,1
TBC03_03,TBC1386LSMEDO,0,1
TBC03_03,TBC13CHA53R,0,1
TBC03_03,TBC1484BEL53A,1,0
TBC03_03,TBC148CHA53A,1,0
TBC03_03,TBC14SCR53R,0,1
TBC03_03,TBC1550HIP53R,0,1
TBC03_03,TBC1590PER53A,1,0
TBC03_03,TBC1760STE52R,0,1
TBC03_03,TBC1761VIO52R,0,1
TBC03_03,TBC1775CHR53R,0,1
TBC03_03,TBC1777MHA52A,1,0
TBC03_03,TBC1792RAL51R,0,1
TBC03_03,TBC181PUY53R,0,1
TBC03_03,TBC1943SEU51A,1,0
TBC03_03,TBC1944STE52A,1,0
TBC03_03,TBC213ESC82A,1,0
TBC03_03,TBC221DEL51R,0,1
TBC03_03,TBC2411MAR51A,1,0
TBC03_03,TBC2412DEL51A,1,0
TBC03_03,TBC2422SEU51R,0,1
TBC03_03,TBC2423PME51R,0,1
TBC03_03,TBC2447RST53R,0,1
TBC03_03,TBC2452RME53A,1,0
TBC03_03,TBC2481LMA53R,0,1
TBC03_03,TBC2503HIP53A,1,0
TBC03_03,TBC2517GLO52A,1,0
TBC03_03,TBC2579RES53R,0,1
TBC03_03,TBC2848GRO53A,1,0
TBC03_03,TBC2900ESC82R,0,1
TBC03_03,TBC2906PFR52A,1,0
TBC03_03,TBC2908CVE52A,1,0
TBC03_03,TBC2949MSM82A,1,0
TBC03_03,TBC2965PER53R,0,1
TBC03_03,TBC2972CAU02R,0,1
TBC03_03,TBC2973BSM51A,1,0
TBC03_03,TBC297414J51R,0,1
TBC03_03,TBC2975LBR03A,1,0
TBC03_03,TBC2976LBR02R,0,1
TBC03_03,TBC2977STA52R,0,1
TBC03_03,TBC2978PFR52R,0,1
TBC03_03,TBC2979PCA52A,1,0
TBC03_03,TBC2980PCA52R,0,1
TBC03_03,TBC2982GLO52R,0,1
TBC03_03,TBC2987COU52A,1,0
TBC03_03,TBC2988COU52R,0,1
TBC03_03,TBC2989ANT52R,0,1
TBC03_03,TBC2990TIL52A,1,0
TBC03_03,TBC2991GUY52R,0,1
TBC03_03,TBC2998CEZ52R,0,1
TBC03_03,TBC3025PBO51A,1,0
TBC03_03,TBC3026CVE52R,0,1
TBC03_03,TBC3027RES53A,1,0
TBC03_03,TBC3030RST53A,1,0
TBC03_03,TBC3031RME53R,0,1
TBC03_03,TBC3032CHE53R,0,1
TBC03_03,TBC3033CHE53A,1,0
TBC03_03,TBC3034LMA53A,1,0
TBC03_03,TBC3035CGA82R,0,1
TBC03_03,TBC3036CGA82A,1,0
TBC03_03,TBC3037GAD03R,0,1
TBC03_03,TBC3038GAD03A,1,0
TBC03_03,TBC3039MGA82R,0,1
TBC03_03,TBC3040MGA82A,1,0
TBC03_03,TBC3041RCO82R,0,1
TBC03_03,TBC3042RCO82A,1,0
TBC03_03,TBC3043PRE82A,1,0
TBC03_03,TBC3044PRE82R,0,1
TBC03_03,TBC3045EGS53R,0,1
TBC03_03,TBC3046EGS53A,1,0
TBC03_03,TBC3047CLU53A,1,0
TBC03_03,TBC3048CLU53R,0,1
TBC03_03,TBC3049COL53R,1,1
TBC03_03,TBC3050COL53A,1,0
TBC03_03,TBC3051AQU53R,1,1
TBC03_03,TBC3052AQU53A,1,0
TBC03_03,TBC3053VCE53R,0,1
TBC03_03,TBC3054VCE53A,1,0
TBC03_03,TBC3056VIS53R,0,1
TBC03_03,TBC3057VIS53A,1,0
TBC03_03,TBC3058MAL53R,0,1
TBC03_03,TBC3059MSM82R,0,1
TBC03_03,TBC3063TISSA,1,1
TBC03_03,TBC3066MSA53A,1,0
TBC03_03,TBC3073AUB03A,1,0
TBC03_03,TBC31GRO53R,0,1
TBC03_03,TBC3270TGARE,1,1
TBC03_03,TBC3278GAM51R,0,1
TBC03_03,TBC328MER53R,0,1
TBC03_03,TBC3312MER53A,1,0
TBC03_03,TBC3324MHA52R,0,1
TBC03_03,TBC345SCR53A,1,0
TBC03_03,TBC3500BEL51A,1,0
TBC03_03,TBC3560TOUR51,0,1
TBC03_03,TBC3647MUN51R,0,1
TBC03_03,TBC3648QUI51A,1,0
TBC03_03,TBC372TIL52R,0,1
TBC03_03,TBC376RUE52R,0,1
TBC03_03,TBC3835EGS82R,0,1
TBC03_03,TBC4015GLA71A,1,0
TBC03_03,TBC4017JOU71A,1,0
TBC03_03,TBC411BER53A,1,0
TBC03_03,TBC4216ZOL82A,1,0
TBC03_03,TBC4217ZOL82R,0,1
TBC03_03,TBC4218VER82A,1,0
TBC03_03,TBC4220RN82A,1,0
TBC03_03,TBC462EGH53A,1,0
TBC03_03,TBC4950LSM53A,1,0
TBC03_03,TBC5315QMUN03,1,1
TBC03_03,TBC5325CRO03A,1,0
TBC03_03,TBC5326CRO03R,0,1
TBC03_03,TBC545PUY53A,1,0
TBC03_03,TBC546ANT52A,1,0
TBC03_03,TBC5625AUB03R,0,1
TBC03_03,TBC5626TVILL3,1,1
TBC03_03,TBC573CHR53A,1,0
TBC03_03,TBC591RAL51A,1,0
TBC03_03,TBC687FOR52A,1,0
TBC03_03,TBC72VIO52A,1,0
TBC03_03,TBC739BEC52R,0,1
TBC03_03,TBC794BEL53R,0,1
TBC03_03,TBC873CAR52R,0,1
TBC03_03,TBC919VEL52A,1,0
TBC03_03,TBC981GUY52A,1,0
TBC03_03,TBC988STA52A,1,0
TBC03_03,TBC996RN215,0,1
TBC04_04,TBC1006BEA46R,0,1
TBC04_04,TBC1040RON45A,1,0
TBC04_04,TBC107714J45R,0,1
TBC04_04,TBC109FRA46R,0,1
TBC04_04,TBC1131ALO46A,1,0
TBC04_04,TBC1140SEM83A,0,1
TBC04_04,TBC1197MEY46A,1,0
TBC04_04,TBC1238MEY46R,0,1
TBC04_04,TBC1252EDI45R,0,1
TBC04_04,TBC1266JEA45A,1,0
TBC04_04,TBC1270RAD46A,1,0
TBC04_04,TBC1298PES46A,1,0
TBC04_04,TBC1309JAU45R,0,1
TBC04_04,TBC1339RON45R,0,1
TBC04_04,TBC1341PES46R,0,1
TBC04_04,TBC1358MOZ45R,0,1
TBC04_04,TBC1390EDI45A,1,0
TBC04_04,TBC1499CAR46A,1,0
TBC04_04,TBC1692TOU51A,1,0
TBC04_04,TBC1713MFO46A,1,0
TBC04_04,TBC17GAM04R,0,1
TBC04_04,TBC180FRA46A,1,0
TBC04_04,TBC187EVA83A,1,0
TBC04_04,TBC1965JOU01A,1,0
TBC04_04,TBC1971PDO01R,0,1
TBC04_04,TBC1974GRA45A,1,0
TBC04_04,TBC2031ECH45A,1,0
TBC04_04,TBC208LEY09A,0,1
TBC04_04,TBC2333SMA09A,0,1
TBC04_04,TBC2434MDQ45R,0,1
TBC04_04,TBC2442PDO01A,1,0
TBC04_04,TBC2443JPU15R,1,0
TBC04_04,TBC2444GAM04A,1,0
TBC04_04,TBC2446CHAN9R,0,1
TBC04_04,TBC2559LVE46A,1,0
TBC04_04,TBC2567LVE46R,0,1
TBC04_04,TBC2621STLO04,1,1
TBC04_04,TBC2734POU46R,0,1
TBC04_04,TBC2740BPE10R,0,1
TBC04_04,TBC2741BOU45R,0,1
TBC04_04,TBC2742STR45R,0,1
TBC04_04,TBC2743NAV45R,0,1
TBC04_04,TBC2744COS45A,1,0
TBC04_04,TBC2751BOU45A,1,0
TBC04_04,TBC2752BPE45A,1,0
TBC04_04,TBC2761JJA45A,1,0
TBC04_04,TBC2762JAU45A,1,0
TBC04_04,TBC2763PES35A,1,0
TBC04_04,TBC2764MON46A,1,0
TBC04_04,TBC2765XAR46A,1,0
TBC04_04,TBC2766CAS46A,1,0
TBC04_04,TBC2768POU46A,1,0
TBC04_04,TBC2782CAS46R,0,1
TBC04_04,TBC2783ALO46R,0,1
TBC04_04,TBC2784XAR46R,0,1
TBC04_04,TBC2785MFO46R,0,1
TBC04_04,TBC2786MON46R,0,1
TBC04_04,TBC2787GRA45R,0,1
TBC04_04,TBC2788PES35R,0,1
TBC04_04,TBC2789JJA45R,0,1
TBC04_04,TBC2790ECH45R,0,1
TBC04_04,TBC2791PHB45R,0,1
TBC04_04,TBC2792ABA83A,0,1
TBC04_04,TBC2809FAU84R,0,1
TBC04_04,TBC2810ORE84A,1,0
TBC04_04,TBC2811FAU84A,1,0
TBC04_04,TBC2813MAG84A,1,1
TBC04_04,TBC2817HLV46R,0,1
TBC04_04,TBC2818ORE84R,0,1
TBC04_04,TBC2819DAU84R,0,1
